logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua Aeroporto da Pampulha,,Neópolis,Natal,RN,59080-490,-35.20826192218602,-5.859715755489709
Rua Aeroporto de Congonhas,,Neópolis,Natal,RN,59080-520,-35.20725120880207,-5.859701023762336
Travessa Aeroporto de Congonhas,,Neópolis,Natal,RN,59080-522,-35.20725120880207,-5.859701023762336
Rua Aeroporto do Galeão,,Neópolis,Natal,RN,59080-500,-35.20781823815894,-5.859359048641242
Travessa Aeroporto do Galeão,,Neópolis,Natal,RN,59080-505,-35.20769994017094,-5.859504950167377
Rua Aeroporto dos Guararapes,,Neópolis,Natal,RN,59080-510,-35.207524479975945,-5.859453664776461
Rua Afonso Cristóvão de Melo,,Ponta Negra,Natal,RN,59091-080,-35.19817448551039,-5.8771452473872685
Rua Afonso Edilson,,Planalto,Natal,RN,59073-134,-35.25275755260537,-5.854536221202635
Rua Afonso Magalhães,,Ponta Negra,Natal,RN,59090-200,-35.168714912221176,-5.88365996064789
Avenida Afonso Pena,597,Petrópolis,Natal,RN,59020-065,-35.197269960864105,-5.788639982132537
Avenida Afonso Pena,753,Tirol,Natal,RN,59020-100,-35.19830001294534,-5.791420007958735
Avenida Afonso Pena,909,Tirol,Natal,RN,59020-265,-35.1992100361731,-5.793910019935069
Travessa Afonso Pena,,Tirol,Natal,RN,59020-105,-35.20187671912699,-5.800890231643853
Travessa Afrodite,,Nossa Senhora da Apresentação,Natal,RN,59115-532,-35.28228995170551,-5.748139967093309
Rua Afrânio Peixoto,,Barro Vermelho,Natal,RN,59030-210,-35.20865663223455,-5.79339974686895
Travessa Agaci,,Alecrim,Natal,RN,59037-160,-35.20930999999996,-5.7911099999999465
Vila Agaci,,Alecrim,Natal,RN,59037-165,-35.20930999999996,-5.7911099999999465
Rua Agenor Marcolino,,Guarapes,Natal,RN,59074-752,-35.26872986860317,-5.830783673990651
Rua Agogô,,Lagoa Azul,Natal,RN,59138-660,-35.25931376162783,-5.72935122330555
Rua Agostinho Almeida,,Lagoa Nova,Natal,RN,59054-660,-35.21552490778991,-5.812644956546201
Rua Agostinho Leitão,,Alecrim,Natal,RN,59040-090,-35.22009703028052,-5.794698588387258
Rua Agracelle,,Redinha,Natal,RN,59122-263,-35.2233135591177,-5.746175986030592
Rua Agrestina,,Guarapes,Natal,RN,59074-864,-35.263434902421864,-5.849009969201411
Rua Agrestina,,Planalto,Natal,RN,59073-270,-35.25977021781567,-5.856258141070583
Rua Agricolândia,,Potengi,Natal,RN,59108-370,-35.264689924784335,-5.763829946873635
Travessa Aguapé,,Pajuçara,Natal,RN,59125-413,-35.242094954122834,-5.744734965611592
Rua Aguinaldo Gurgel Júnior,,Candelária,Natal,RN,59066-030,-35.21664957565281,-5.848093630630526
Rua Agulhas Negras,,Pitimbu,Natal,RN,59069-410,-35.24263999999994,-5.852799999999945
Rua Aimorés,,Neópolis,Natal,RN,59084-020,-35.20046009704645,-5.867240134866892
Rua Aires da Cunha,,Lagoa Azul,Natal,RN,59138-602,-35.260351463598575,-5.728472794693822
1ª Travessa Ajax de Ribamar Dantas,,Dix-Sept Rosado,Natal,RN,59052-211,-35.23126125367796,-5.810971697749308
2ª Travessa Ajax de Ribamar Dantas,,Dix-Sept Rosado,Natal,RN,59052-212,-35.23116162015482,-5.81102859710944
3ª Travessa Ajax de Ribamar Dantas,,Dix-Sept Rosado,Natal,RN,59052-213,-35.23125869101172,-5.810967210397153
Rua Aladim,,Nossa Senhora da Apresentação,Natal,RN,59115-420,-35.26316276377602,-5.751842819230294
Rua Alagoas,,Neópolis,Natal,RN,59080-580,-35.20693260470655,-5.856149187212974
Rua Alagoinha,,Lagoa Azul,Natal,RN,59129-304,-35.25932522277175,-5.740305302033444
Rua Alamanda,,Candelária,Natal,RN,59065-480,-35.22068992034565,-5.836834961472469
Travessa Alameda,,Nossa Senhora da Apresentação,Natal,RN,59114-165,-35.264859909780725,-5.749989957897917
Travessa Alameda dos Coqueirais,,Planalto,Natal,RN,59073-088,-35.25286999999997,-5.851879999999937
Rua Alan Kardec,,Petrópolis,Natal,RN,59014-140,-35.19429991729292,-5.786359957785514
Rua Albacora,,Pajuçara,Natal,RN,59133-065,-35.236819999999966,-5.736699999999928
Rua Albatroz,,Pitimbu,Natal,RN,59067-450,-35.22665993088235,-5.87356494314669
Rua Albertina Bezerra,,Planalto,Natal,RN,59073-187,-35.25286999999997,-5.851879999999937
Rua Albertina Bezerra de Araújo,,Cidade Nova,Natal,RN,59072-675,-35.24234999999993,-5.834539999999947
Rua Alberto Maranhão,,Tirol,Natal,RN,59020-330,-35.20253262265414,-5.798395832288239
Travessa Alberto Maranhão,,Tirol,Natal,RN,59020-335,-35.205256163357205,-5.79699240710868
Rua Alberto Silva,,Tirol,Natal,RN,59022-185,-35.20568242820853,-5.809670032689093
Rua Alberto Silva,,Lagoa Seca,Natal,RN,59022-300,-35.2089690468697,-5.808461520630805
Rua Albino Fernandes Borges,,Lagoa Nova,Natal,RN,59054-710,-35.211159313291326,-5.811589000455832
Rua Alcindo Dias de Oliveira,,Capim Macio,Natal,RN,59082-300,-35.18852672982296,-5.866453533105268
Rua Alcione Dowsley,,Pajuçara,Natal,RN,59122-343,-35.22686024044667,-5.740996828787698
Rua Alcântara,,Potengi,Natal,RN,59108-530,-35.25836908061542,-5.7623331376004066
Vila Alcântara,,Alecrim,Natal,RN,59037-680,-35.25836908061542,-5.7623331376004066
Rua Alda Ramalho Pereira,,Tirol,Natal,RN,59014-600,-35.1981299441299,-5.795124976800345
Travessa Alda Ramalho Pereira,,Tirol,Natal,RN,59014-602,-35.200729999999965,-5.8005699999999365
Travessa Aldeia Nova,,Igapó,Natal,RN,59104-245,-35.26290491468407,-5.7688799597178075
Rua Aldo de Melo Freire,,Capim Macio,Natal,RN,59082-030,-35.202787899877904,-5.855819692609306
Vila Alegria,,Felipe Camarão,Natal,RN,59072-442,-35.25111999999996,-5.829109999999957
Rua Alexandre Baraúna,,Candelária,Natal,RN,59065-280,-35.21670491211894,-5.835149968431871
Rua Alexandre Chaves Neto,,Lagoa Nova,Natal,RN,59054-410,-35.22089507880971,-5.812081694463662
Rua Alexandre Câmara,,Capim Macio,Natal,RN,59082-200,-35.1917681103209,-5.8663022505664815
Rua Alexandre Pinto,,Nossa Senhora da Apresentação,Natal,RN,59114-236,-35.27444490942845,-5.743329949091809
Rua Alexandria,,Lagoa Nova,Natal,RN,59054-780,-35.21461991370404,-5.815934958316355
Rua Alexandrina da Conceição,,Lagoa Azul,Natal,RN,59139-534,-35.27010488569276,-5.722344953437492
Travessa Alfaville,,Nossa Senhora da Apresentação,Natal,RN,59114-272,-35.28711999999996,-5.727389999999957
Rua Alfredo Dias de Figueiredo,,Ponta Negra,Natal,RN,59092-570,-35.18282648225581,-5.891484650848184
Rua Alfredo Edeltrudes,,Nordeste,Natal,RN,59042-110,-35.23914709600722,-5.799338547633914
Rua Alfredo Pegado Cortez,,Candelária,Natal,RN,59066-080,-35.21887179625777,-5.8499804215056725
Travessa Alicante,,Felipe Camarão,Natal,RN,59074-396,-35.25112112462414,-5.829118352505775
Rua Alice Azevedo,,Capim Macio,Natal,RN,59080-015,-35.20931468399641,-5.853217591961224
Rua Alice Câmara,,Planalto,Natal,RN,59073-077,-35.25086992664768,-5.843879972046189
Rua Aline Veríssimo,,Lagoa Azul,Natal,RN,59139-625,-35.274654918012516,-5.726034960581934
Rua Almeida Castro,,Tirol,Natal,RN,59015-060,-35.19791789498842,-5.799424211963987
Travessa Almeida,,Ponta Negra,Natal,RN,59090-618,-35.178264917423135,-5.875894965546152
Vila Almeida,,Quintas,Natal,RN,59035-220,-35.23436907830654,-5.812564339478629
Rua Almino Afonso,,Ribeira,Natal,RN,59012-010,-35.203427547023175,-5.776333107026186
Vila Almir,,Alecrim,Natal,RN,59037-155,-35.22413991169266,-5.797099962736063
2ª Travessa Almirante Alexandrino de Alencar,,Alecrim,Natal,RN,59030-356,-35.213854939310735,-5.795894959380803
Avenida Almirante Alexandrino de Alencar,,Alecrim,Natal,RN,59030-350,-35.21387739298393,-5.797365870679877
Avenida Almirante Alexandrino de Alencar,,Alecrim,Natal,RN,59031-350,-35.21387739298393,-5.797365870679877
Avenida Almirante Alexandrino de Alencar,,Lagoa Seca,Natal,RN,59022-350,-35.20936112743364,-5.804076758616168
Avenida Almirante Alexandrino de Alencar,,Tirol,Natal,RN,59015-350,-35.20505759323273,-5.80655940757008
Avenida Almirante Alexandrino de Alencar,,Barro Vermelho,Natal,RN,59030-660,-35.209283711479436,-5.803930209709576
Travessa Almirante Alexandrino de Alencar,,Alecrim,Natal,RN,59030-355,-35.213854939310735,-5.795894959380803
Rua Almirante Aristides Guilhem,,Alecrim,Natal,RN,59040-140,-35.21727843791521,-5.791716114163965
Rua Almirante Barroso,,Praia do Meio,Natal,RN,59010-110,-35.196622385394775,-5.779108550106254
Praça Almirante Gonçalves,,Alecrim,Natal,RN,59037-080,-35.22504604337608,-5.797372239110614
Praça Almirante Isaías de Noronha,,Alecrim,Natal,RN,59040-170,-35.20930999999996,-5.7911099999999465
Praça Almirante Marquês de Tamandaré,,Alecrim,Natal,RN,59030-020,-35.20930999999996,-5.7911099999999465
Rua Almirante Nelson Fernandes,,Barro Vermelho,Natal,RN,59022-600,-35.20562695321486,-5.8022558695664355
Rua Almirante Tamandaré,,Lagoa Nova,Natal,RN,59054-560,-35.217449895673184,-5.812019959935931
Travessa Almirante Tamandaré,,Lagoa Nova,Natal,RN,59054-565,-35.217449895673184,-5.812019959935931
Rua Almirante Teotônio Carvalho,,Tirol,Natal,RN,59015-100,-35.19888583902862,-5.798982769104558
Rua Almirante Tértius Rebelo,,Lagoa Nova,Natal,RN,59054-520,-35.21801300514761,-5.815630651277491
Rua Alonso de Almeida,,Barro Vermelho,Natal,RN,59030-230,-35.20814395899071,-5.793496526126723
