logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua Adroaldo Américo,,Igapó,Natal,RN,59106-135,-35.2752883,-5.764947299999998
Rua Advogado Manoel Augusto,,Felipe Camarão,Natal,RN,59074-014,-35.2498759,-5.8252393
Vila Adão,,Bom Pastor,Natal,RN,59050-081,-35.2429333,-5.8074968999999985
Vila Adélia,,Nordeste,Natal,RN,59042-550,-35.253291600000004,-5.8608417
Travessa Aeroporto,,Nossa Senhora da Apresentação,Natal,RN,59114-278,-35.265438700000004,-5.747095
Rua Aeroporto da Pampulha,,Neópolis,Natal,RN,59080-490,-35.208284899999995,-5.859803400000001
Rua Aeroporto de Congonhas,,Neópolis,Natal,RN,59080-520,-35.2071863,-5.8595573
Travessa Aeroporto de Congonhas,,Neópolis,Natal,RN,59080-522,-35.2071863,-5.8595573
Rua Aeroporto do Galeão,,Neópolis,Natal,RN,59080-500,-35.207839,-5.8594781
Travessa Aeroporto do Galeão,,Neópolis,Natal,RN,59080-505,-35.207839,-5.8594781
Rua Aeroporto dos Guararapes,,Neópolis,Natal,RN,59080-510,-35.207528100000005,-5.8595773
Rua Afonso Cristóvão de Melo,,Ponta Negra,Natal,RN,59091-080,-35.1978559,-5.8766243
Rua Afonso Edilson,,Planalto,Natal,RN,59073-134,-35.2032237,-5.7754325999999985
Rua Afonso Magalhães,,Ponta Negra,Natal,RN,59090-200,-35.173460399999996,-5.886678099999999
Avenida Afonso Pena,597.0,Petrópolis,Natal,RN,59020-065,-35.1973175,-5.788638
Avenida Afonso Pena,753.0,Tirol,Natal,RN,59020-100,-35.1984076,-5.791330599999998
Avenida Afonso Pena,909.0,Tirol,Natal,RN,59020-265,-35.1992079,-5.793883399999999
Travessa Afonso Pena,,Tirol,Natal,RN,59020-105,-35.1988646,-5.7921875
Travessa Afrodite,,Nossa Senhora da Apresentação,Natal,RN,59115-532,-35.2752715,-5.7430314000000005
Rua Afrânio Peixoto,,Barro Vermelho,Natal,RN,59030-210,-35.2085994,-5.793492199999998
Travessa Agaci,,Alecrim,Natal,RN,59037-160,-35.2220717,-5.7996045
Vila Agaci,,Alecrim,Natal,RN,59037-165,-35.2220717,-5.7996045
Rua Agenor Marcolino,,Guarapes,Natal,RN,59074-752,-35.2671642,-5.839631199999999
Rua Agogô,,Lagoa Azul,Natal,RN,59138-660,-35.2592124,-5.7293634
Rua Agostinho Almeida,,Lagoa Nova,Natal,RN,59054-660,-35.21576100000001,-5.8133465
Rua Agostinho Leitão,,Alecrim,Natal,RN,59040-090,-35.2200584,-5.7947904999999995
Rua Agracelle,,Redinha,Natal,RN,59122-263,-35.2232754,-5.746265699999999
Rua Agrestina,,Guarapes,Natal,RN,59074-864,-35.2626374,-5.8505492
Rua Agrestina,,Planalto,Natal,RN,59073-270,-35.2601882,-5.8553674
Rua Agricolândia,,Potengi,Natal,RN,59108-370,-35.2646809,-5.7638479999999985
Travessa Aguapé,,Pajuçara,Natal,RN,59125-413,-35.2812401,-5.7706599
Rua Aguinaldo Gurgel Júnior,,Candelária,Natal,RN,59066-030,-35.2166251,-5.8480834
Rua Agulhas Negras,,Pitimbu,Natal,RN,59069-410,-35.2356918,-5.7332964
Rua Aimorés,,Neópolis,Natal,RN,59084-020,-35.2003469,-5.8671568
Rua Aires da Cunha,,Lagoa Azul,Natal,RN,59138-602,-35.260315999999996,-5.7284953000000005
1ª Travessa Ajax de Ribamar Dantas,,Dix-Sept Rosado,Natal,RN,59052-211,-35.2312033,-5.8110745
2ª Travessa Ajax de Ribamar Dantas,,Dix-Sept Rosado,Natal,RN,59052-212,-35.233637,-5.809686
3ª Travessa Ajax de Ribamar Dantas,,Dix-Sept Rosado,Natal,RN,59052-213,-35.2313605,-5.811001
Rua Aladim,,Nossa Senhora da Apresentação,Natal,RN,59115-420,-35.263135600000005,-5.751866100000001
Rua Alagoas,,Neópolis,Natal,RN,59080-580,-35.2069161,-5.8561698999999985
