logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua da Monazita,,Lagoa Nova,Natal,RN,59076-560,-35.206432799999995,-5.8322404
Rua da Mutamba,,Lagoa Azul,Natal,RN,59135-180,-35.2537805,-5.734178599999999
Rua da Paz,,Redinha,Natal,RN,59122-130,-35.20871939999999,-5.7440023
Rua da Paz,,Bom Pastor,Natal,RN,59060-096,-35.242132299999994,-5.8087849
Rua da Paz,,Nossa Senhora da Apresentação,Natal,RN,59115-603,-35.2658897,-5.7462568
Rua da Pescada,,Ponta Negra,Natal,RN,59090-370,-35.177544299999994,-5.8796072
Rua da Pescada,,Pajuçara,Natal,RN,59132-430,-35.2358875,-5.7345602
Travessa da Pitanga,,Nossa Senhora da Apresentação,Natal,RN,59114-167,-35.2777568,-5.7379455
Rua da Platina,,Lagoa Nova,Natal,RN,59076-080,-35.2093218,-5.828386900000001
Rua da Praia,,Ponta Negra,Natal,RN,59090-840,-35.1695953,-5.883612
Rua da Quadra,,Redinha,Natal,RN,59122-040,-35.2051521,-5.7506625
Rua da Quina,,Lagoa Azul,Natal,RN,59135-190,-35.2540299,-5.7353822
Rua da Rabeca,,Lagoa Azul,Natal,RN,59138-400,-35.2612035,-5.7340812
Rua da Redinha,,Guarapes,Natal,RN,59074-700,-35.2772904,-5.8400058
Rua da Ribeira,,Guarapes,Natal,RN,59074-760,-35.2748749,-5.8431968
Rua da Roseira,,Lagoa Azul,Natal,RN,59129-312,-35.256405,-5.7366532
Rua da Safira,,Lagoa Nova,Natal,RN,59076-360,-35.2037929,-5.8303617999999995
Rua da Sanfona,,Lagoa Azul,Natal,RN,59138-420,-35.2619384,-5.7336221
Rua da Saudade,,Nossa Senhora da Apresentação,Natal,RN,59114-085,-35.2648185,-5.7545655
Rua da Saudade,,Nova Descoberta,Natal,RN,59056-400,-35.19942879999999,-5.8233248
Rua da Saudade,,Lagoa Nova,Natal,RN,59056-125,-35.200925500000004,-5.822714700000001
Rua da Sereia,,Felipe Camarão,Natal,RN,59074-090,-35.256840600000004,-5.8217476999999995
Rua da Serra,,Pajuçara,Natal,RN,59132-420,-35.2372648,-5.7360694
Rua da Sheelita,,Lagoa Nova,Natal,RN,59076-050,-35.2101072,-5.8291045
Rua da Sorveira,,Pitimbu,Natal,RN,59067-590,-35.228445,-5.869353299999999
Rua da Tamarineira,,Felipe Camarão,Natal,RN,59072-200,-35.249911600000004,-5.828498000000001
Rua da Toada,,Lagoa Azul,Natal,RN,59138-370,-35.2599938,-5.7345829
Rua da Torre,,Tirol,Natal,RN,59015-380,-35.1961572,-5.8137442
Rua da Trilha,,Pajuçara,Natal,RN,59132-470,-35.237101200000005,-5.736256200000001
Rua da Turmalina,,Lagoa Nova,Natal,RN,59076-320,-35.203267600000004,-5.829676200000001
Rua da Viola,,Pajuçara,Natal,RN,59132-320,-35.234891,-5.730581
Rua da Vitória,,Nossa Senhora da Apresentação,Natal,RN,59115-447,-35.2611828,-5.7467608
Rua da Águia,,Pajuçara,Natal,RN,59125-375,-35.2393814,-5.7489495999999995
Alameda das Acácias,,Neópolis,Natal,RN,59080-560,-35.2112837,-5.855300700000001
Avenida das Alagoas,1267.0,Neópolis,Natal,RN,59086-200,-35.202143299999996,-5.8674615
Avenida das Alagoas,1269.0,Neópolis,Natal,RN,59084-200,-35.202143299999996,-5.8674615
Rua das Algarobas,,Pitimbu,Natal,RN,59067-500,-35.226607200000004,-5.8712248
Rua das Algas,,Ponta Negra,Natal,RN,59090-410,-35.1787356,-5.8811876
Rua das Amapolas,,Capim Macio,Natal,RN,59078-150,-35.2059448,-5.8428133
Rua das Andorinhas,,Pitimbu,Natal,RN,59067-390,-35.2301844,-5.8719573
Rua das Angélicas,,Capim Macio,Natal,RN,59078-130,-35.2058157,-5.8411428
Rua das Argolinhas,,Lagoa Azul,Natal,RN,59138-620,-35.2580559,-5.7306798
Rua das Avencas,,Redinha,Natal,RN,59122-240,-35.2253049,-5.7478
Rua das Azaléias,,Redinha,Natal,RN,59122-260,-35.223699700000004,-5.7481121
Rua das Bandeirinhas,,Lagoa Azul,Natal,RN,59138-570,-35.258477,-5.73093
Avenida das Brancas Dunas,,Candelária,Natal,RN,59064-720,-35.2160572,-5.8450241
Rua das Bromélias,,Lagoa Azul,Natal,RN,59139-190,-35.2617386,-5.727280400000001
Travessa das Bromélias,,Lagoa Azul,Natal,RN,59139-165,-35.2613194,-5.7272805
Rua das Camélias,,Capim Macio,Natal,RN,59078-230,-35.20829929999999,-5.841982499999999
Rua das Carnaúbas,,Pitimbu,Natal,RN,59067-630,-35.2253209,-5.8699417
Alameda das Castanholas,,Neópolis,Natal,RN,59080-280,-35.206387299999996,-5.857787999999999
Alameda das Cerejeiras,,Neópolis,Natal,RN,59080-360,-35.2084331,-5.8576478
Rua das Charqueadas,,Lagoa Azul,Natal,RN,59139-010,-35.264909,-5.731501799999999
Avenida das Cirandas,,Lagoa Azul,Natal,RN,59138-600,-35.2586661,-5.7333699000000005
Avenida das Conchas,,Ponta Negra,Natal,RN,59090-420,-35.1781999,-5.8816125
Rua das Cotovias,,Pajuçara,Natal,RN,59132-590,-35.243960200000004,-5.731545099999999
Rua das Crendices,,Lagoa Azul,Natal,RN,59135-070,-35.25646,-5.7342746
Travessa das Donzelas,,Rocas,Natal,RN,59012-190,-35.20084779999999,-5.7760324999999995
Rua das Flores,,Nossa Senhora da Apresentação,Natal,RN,59114-105,-35.2643698,-5.753339700000001
Rua das Flores,,Pajuçara,Natal,RN,59123-365,-35.2434406,-5.743225700000001
Avenida das Fronteiras,819.0,Nossa Senhora da Apresentação,Natal,RN,59114-035,-35.263316499999995,-5.753845500000001
Avenida das Fronteiras,503.0,Igapó,Natal,RN,59104-345,-35.2645697,-5.7603601
Avenida das Fronteiras,1927.0,Nossa Senhora da Apresentação,Natal,RN,59115-470,-35.263316499999995,-5.753845500000001
Avenida das Fronteiras,2681.0,Potengi,Natal,RN,59129-200,-35.25965720000001,-5.7456149000000005
Avenida das Fronteiras,3137.0,Potengi,Natal,RN,59124-200,-35.25965720000001,-5.7456149000000005
Avenida das Fronteiras,816.0,Potengi,Natal,RN,59108-355,-35.25965720000001,-5.7456149000000005
Avenida das Fronteiras,1928.0,Potengi,Natal,RN,59112-495,-35.25965720000001,-5.7456149000000005
Avenida das Fronteiras,1378.0,Potengi,Natal,RN,59112-200,-35.25965720000001,-5.7456149000000005
Avenida das Fronteiras,1381.0,Nossa Senhora da Apresentação,Natal,RN,59114-275,-35.263316499999995,-5.753845500000001
Travessa das Fronteiras,,Nossa Senhora da Apresentação,Natal,RN,59114-038,-35.2645516,-5.7575587
Rua das Gaivotas,,Pitimbu,Natal,RN,59067-460,-35.2265649,-5.8745968
Rua das Gameleiras,,Lagoa Azul,Natal,RN,59139-280,-35.2636322,-5.7286768
Rua das Gardênias,,Capim Macio,Natal,RN,59078-045,-35.2051541,-5.8392288
Rua das Garças,,Pitimbu,Natal,RN,59067-330,-35.2326836,-5.868941599999999
Rua das Imbaúbas,,Lagoa Azul,Natal,RN,59138-080,-35.267353799999995,-5.7368847
Rua das Jaboticabas,,Lagoa Azul,Natal,RN,59138-050,-35.2672264,-5.7343747
Rua das Jitiranas,,Lagoa Azul,Natal,RN,59139-180,-35.2620631,-5.728595400000001
Rua das Jurubebas,,Lagoa Azul,Natal,RN,59138-120,-35.2669555,-5.7356037
Rua das Laranjeiras,,Pajuçara,Natal,RN,59133-268,-35.2371226,-5.7389209999999995
Rua das Laranjeiras,,Cidade Alta,Natal,RN,59025-490,-35.2101152,-5.7864665
Rua das Laranjeiras,,Nossa Senhora da Apresentação,Natal,RN,59114-088,-35.2692555,-5.759931099999999
Rua das Macambiras,,Lagoa Azul,Natal,RN,59138-040,-35.268741799999994,-5.736016
Rua das Magnólias,,Capim Macio,Natal,RN,59078-070,-35.2080914,-5.8423702
Rua das Maniçobas,,Lagoa Azul,Natal,RN,59138-030,-35.2685112,-5.7356491
Alameda das Mansões,,Candelária,Natal,RN,59064-740,-35.215258,-5.844498000000001
Alameda das Mansões 3693,,Candelária,Natal,RN,59064-902,-35.2150607,-5.8447817
Rua das Margaridas,,Tirol,Natal,RN,59020-580,-35.2030222,-5.803807099999999
Rua das Margaridas,,Capim Macio,Natal,RN,59078-120,-35.206238299999995,-5.8403545
Rua das Margaridas,,Cidade Nova,Natal,RN,59072-514,-35.2431275,-5.8275785
Rua das Marinas,,Ponta Negra,Natal,RN,59090-582,-35.1747624,-5.8906510999999995
Rua das Nações,,Redinha,Natal,RN,59122-655,-35.22568029999999,-5.7530626
Rua das Nogueiras,,Pitimbu,Natal,RN,59067-510,-35.230942299999995,-5.8654883
Avenida das Oliveiras,,Potengi,Natal,RN,59120-330,-35.243086,-5.7588769
Rua das Oliveiras,,Lagoa Azul,Natal,RN,59129-770,-35.260070299999995,-5.7382031
Rua das Orquídeas,,Pajuçara,Natal,RN,59133-129,-35.2496338,-5.7351367
Rua das Orquídeas,,Capim Macio,Natal,RN,59078-170,-35.205518,-5.8436095
Rua das Orquídeas,,Igapó,Natal,RN,59106-108,-35.2750292,-5.7647330000000006
Rua das Pastorinhas,,Lagoa Azul,Natal,RN,59138-710,-35.263251399999994,-5.7315164
Rua das Pedrinhas,,Nossa Senhora da Apresentação,Natal,RN,59114-410,-35.2754756,-5.7612111
Rua das Perdizes,,Pitimbu,Natal,RN,59067-480,-35.2247753,-5.8743117
Rua das Petúnias,,Nossa Senhora da Apresentação,Natal,RN,59115-590,-35.269652,-5.7468416
Rua das Pirâmides,,Pajuçara,Natal,RN,59131-770,-35.2421249,-5.726222900000001
Rua das Prímulas,,Redinha,Natal,RN,59122-045,-35.2286225,-5.751987799999999
