cep,logradouro,complemento,bairro,cidade,estado,longitude,latitude
59025-200,Rua Felipe Camarão,387,Cidade Alta,Natal,RN,,
59072-741,Travessa Felipe Camarão,,Felipe Camarão,Natal,RN,,
59056-150,Rua Felipe Cortez,1873,Lagoa Nova,Natal,RN,,
59075-150,Rua Felipe Cortez,1875,Lagoa Nova,Natal,RN,,
59074-470,Rua Felipe Dias,,Felipe Camarão,Natal,RN,,
59074-471,Vila Felipe Dias,,Felipe Camarão,Natal,RN,,
59035-590,Vila Felipe,,Quintas,Natal,RN,,
59104-280,Rua Felipe dos Santos,,Igapó,Natal,RN,,
59104-282,Travessa Felipe dos Santos,,Igapó,Natal,RN,,
59042-200,Avenida Felizardo Firmino Moura,,Nordeste,Natal,RN,,
59042-203,Vila Felizardo Moura,,Nordeste,Natal,RN,,
59114-279,Rua Fenix,,Nossa Senhora da Apresentação,Natal,RN,,
59075-292,1ª Vila Fernandes,,Nova Descoberta,Natal,RN,,
59075-311,2ª Vila Fernandes,,Nova Descoberta,Natal,RN,,
59075-295,Travessa Fernandes,,Nova Descoberta,Natal,RN,,
59052-110,Vila Fernandes,,Dix-Sept Rosado,Natal,RN,,
59050-111,Vila Fernandes,,Quintas,Natal,RN,,
59054-613,Vila Fernandes,,Lagoa Nova,Natal,RN,,
59075-720,Rua Fernando Barreto,,Lagoa Nova,Natal,RN,,
59132-694,Rua Fernando Lima,,Lagoa Azul,Natal,RN,,
59080-240,Rua Fernando de Noronha,,Neópolis,Natal,RN,,
59086-160,Rua Fernão Velho,,Neópolis,Natal,RN,,
59012-030,Rua Ferreira Chaves,,Ribeira,Natal,RN,,
59010-250,Rua Ferreira Itajubá,,Rocas,Natal,RN,,
59010-255,Travessa Ferreira Itajubá,,Rocas,Natal,RN,,
59040-230,Rua Ferreira Nobre,,Alecrim,Natal,RN,,
59040-310,Travessa Ferreira Nobre,,Alecrim,Natal,RN,,
59075-245,Vila Ferreira,,Nova Descoberta,Natal,RN,,
59133-362,Rua Ferreira de Souza,,Pajuçara,Natal,RN,,
59062-030,Rua Ferreiro Velho,,Bom Pastor,Natal,RN,,
59012-140,Rua Ferro Cardoso,,Rocas,Natal,RN,,
59074-360,Rua Ferro Cardoso,,Felipe Camarão,Natal,RN,,
59074-572,Rua Ferro Cardoso,,Guarapes,Natal,RN,,
59074-355,Travessa Ferro Cardoso,,Felipe Camarão,Natal,RN,,
59074-365,Vila Ferro Cardoso,,Felipe Camarão,Natal,RN,,
59040-440,Vila Ferroviária,,Alecrim,Natal,RN,,
59110-100,Rua Fidélis,,Potengi,Natal,RN,,
59067-540,Rua Figueira,,Pitimbu,Natal,RN,,
59069-650,Rua Figueirópolis,,Pitimbu,Natal,RN,,
59088-516,Rua Filadélfia,,Neópolis,Natal,RN,,
59114-067,Travessa Filgueira,,Nossa Senhora da Apresentação,Natal,RN,,
59072-113,Travessa Filgueira da Foz,,Felipe Camarão,Natal,RN,,
59032-110,Rua Filhas de Santana,,Alecrim,Natal,RN,,
59072-261,Travessa Filó,,Felipe Camarão,Natal,RN,,
59040-330,Vila Fio de Ouro,,Alecrim,Natal,RN,,
59073-148,Travessa Firmino de Brito,,Planalto,Natal,RN,,
59072-140,Vila Flamengo,,Felipe Camarão,Natal,RN,,
59042-263,Vila Flamengo,,Nordeste,Natal,RN,,
59074-878,Rua Flamingo,,Guarapes,Natal,RN,,
59075-410,Vila Flor,,Nova Descoberta,Natal,RN,,
59060-232,Vila Flor,,Bom Pastor,Natal,RN,,
59090-725,Rua Flor da Aurora,,Ponta Negra,Natal,RN,,
59122-642,Rua Flor da Esperança,,Redinha,Natal,RN,,
59069-515,Rua Flor da Serra,,Pitimbu,Natal,RN,,
59138-090,Rua Flor de Cactus,,Lagoa Azul,Natal,RN,,
59122-261,Rua Flor de Carlinda,,Redinha,Natal,RN,,
59122-646,Rua Flor de Coral,,Redinha,Natal,RN,,
59114-009,Rua Flor de Júpiter,,Nossa Senhora da Apresentação,Natal,RN,,
59122-377,Rua Flor de Laranjeira,,Pajuçara,Natal,RN,,
59132-696,Rua Flor de Liz,,Pajuçara,Natal,RN,,
59065-520,Rua Flor de Maio,,Candelária,Natal,RN,,
59138-110,Rua Flor de Mucambé,,Lagoa Azul,Natal,RN,,
59072-762,Travessa Flor de Santana,,Cidade Nova,Natal,RN,,
59122-264,Rua Flor do Campo,,Pajuçara,Natal,RN,,
59114-313,Rua Flor do Céu,,Nossa Senhora da Apresentação,Natal,RN,,
59114-196,Travessa Flor do Mangue,,Nossa Senhora da Apresentação,Natal,RN,,
59123-024,Rua Flor do Norte,,Pajuçara,Natal,RN,,
59133-130,Rua Flor do Paraíso,,Pajuçara,Natal,RN,,
59114-740,Rua Flor do Sertão,,Nossa Senhora da Apresentação,Natal,RN,,
59040-114,Travessa Flor-de-lis,,Alecrim,Natal,RN,,
59132-550,Rua Flora Rica,,Pajuçara,Natal,RN,,
59115-350,Rua Floral,,Nossa Senhora da Apresentação,Natal,RN,,
59122-249,Rua Florentino Cunha,,Pajuçara,Natal,RN,,
59115-599,Rua Florentino de Souza,,Nossa Senhora da Apresentação,Natal,RN,,
59091-150,Rua Florença,,Ponta Negra,Natal,RN,,
59125-260,Rua Florenço,,Pajuçara,Natal,RN,,
59010-600,Rua Floresta,,Rocas,Natal,RN,,
59012-192,Rua Floresta,,Ribeira,Natal,RN,,
59064-350,Rua Floresta,,Lagoa Nova,Natal,RN,,
59052-280,Travessa Floresta,,Dix-Sept Rosado,Natal,RN,,
59114-003,Travessa Floresta,,Nossa Senhora da Apresentação,Natal,RN,,
59014-280,Rua Florestal,,Mãe Luiza,Natal,RN,,
59014-285,Travessa Florestal,,Mãe Luiza,Natal,RN,,
59114-364,Rua Florestina,,Nossa Senhora da Apresentação,Natal,RN,,
59066-270,Rua Floriano Martins,,Candelária,Natal,RN,,
59072-520,Rua Floriano Peixoto,,Cidade Nova,Natal,RN,,
59110-000,Avenida Florianópolis,,Potengi,Natal,RN,,
59131-330,Rua Florinea,,Pajuçara,Natal,RN,,
59114-082,Travessa Florisval,,Nossa Senhora da Apresentação,Natal,RN,,
59054-810,Rua Florânia,,Lagoa Nova,Natal,RN,,
59074-843,Rua Flávia Cristina Baracho,,Guarapes,Natal,RN,,
59114-317,Rua Flávia Vasconcelos,,Nossa Senhora da Apresentação,Natal,RN,,
59072-340,Rua Folha Dourada,,Felipe Camarão,Natal,RN,,
59035-325,Vila Fonseca,,Quintas,Natal,RN,,
59030-270,Rua Fonseca e Silva,,Alecrim,Natal,RN,,
59040-270,Rua Fonseca e Silva,,Alecrim,Natal,RN,,
59112-620,Rua Formiga,,Potengi,Natal,RN,,
59072-111,Travessa Formosa,,Felipe Camarão,Natal,RN,,
59071-050,Rua Fortaleza,,Cidade da Esperança,Natal,RN,,
59072-826,Rua Fortaleza,,Cidade Nova,Natal,RN,,
59062-150,Rua Forte dos Reis Magos,,Nossa Senhora de Nazaré,Natal,RN,,
59139-312,Rua Fortunato Aranha,,Lagoa Azul,Natal,RN,,
59073-095,Rua Fotógrafo Jorge Mário,,Planalto,Natal,RN,,
59060-760,Rua Fotógrafo Jornalístico Washington José,,Bom Pastor,Natal,RN,,
59068-660,Rua Foz do Iguaçu,,Pitimbu,Natal,RN,,
59114-770,Rua Foz do Jordão,,Nossa Senhora da Apresentação,Natal,RN,,
59132-560,Rua Fragatas,,Pajuçara,Natal,RN,,
59139-569,Rua Francilene,,Lagoa Azul,Natal,RN,,
59075-054,Vila Francinete,,Nova Descoberta,Natal,RN,,
59112-050,Rua Francinópolis,,Potengi,Natal,RN,,
59139-575,Rua Francisca Alves de Oliveira,,Lagoa Azul,Natal,RN,,
59139-590,Rua Francisca Antônio de Sá,,Lagoa Azul,Natal,RN,,
59074-370,Rua Francisca Campos,,Felipe Camarão,Natal,RN,,
59074-564,Rua Francisca Campos,,Guarapes,Natal,RN,,
59074-371,Travessa Francisca Campos,,Felipe Camarão,Natal,RN,,
59114-175,Rua Francisca Ferreira de Souza,,Nossa Senhora da Apresentação,Natal,RN,,
59073-193,Rua Francisca Gomes da Silva,,Planalto,Natal,RN,,
59129-792,Rua Francisca Maria da Conceição,,Lagoa Azul,Natal,RN,,
59139-615,Rua Francisca Oliveira,,Lagoa Azul,Natal,RN,,
59022-060,Rua Francisca Paula Alves,,Barro Vermelho,Natal,RN,,
59122-475,Rua Francisca Sales,,Redinha,Natal,RN,,
59086-360,Rua Francisco Aires de Carvalho,,Neópolis,Natal,RN,,
59032-050,1ª Vila Francisco Alves,828,Alecrim,Natal,RN,,
59032-215,2ª Vila Francisco Alves,,Alecrim,Natal,RN,,
59037-430,Rua Francisco Alves Câmara,,Alecrim,Natal,RN,,
59040-210,Rua Francisco Alves,,Alecrim,Natal,RN,,
59040-474,Rua Francisco Alves,,Quintas,Natal,RN,,
59114-160,Rua Francisco Alves da Silva,,Nossa Senhora da Apresentação,Natal,RN,,
59056-460,Rua Francisco Antônio Cruz,,Nova Descoberta,Natal,RN,,
59114-100,Rua Francisco Aprígio,,Nossa Senhora da Apresentação,Natal,RN,,
59133-324,Rua Francisco Bernardo da Silva,,Pajuçara,Natal,RN,,
59010-350,Rua Francisco Bicalho,,Rocas,Natal,RN,,
59063-370,Rua Francisco Borges de Oliveira,,Lagoa Nova,Natal,RN,,
59078-105,Rua Francisco C. de Assis de Medeiros,,Capim Macio,Natal,RN,,
59074-844,Rua Francisco Canindé da Silva,,Guarapes,Natal,RN,,
59122-276,Rua Francisco Celestino de Medeiros,,Redinha,Natal,RN,,
59060-270,Rua Francisco Cunha,,Bom Pastor,Natal,RN,,
59073-124,Rua Francisco Damião,,Planalto,Natal,RN,,
59030-710,Rua Francisco Dantas,,Barro Vermelho,Natal,RN,,
59122-266,Travessa Francisco Dantas,,Pajuçara,Natal,RN,,
59073-356,Rua Francisco Eduardo,,Planalto,Natal,RN,,
59073-142,Rua Francisco Elias Lourenço,,Planalto,Natal,RN,,
59078-520,Rua Francisco Fernandes Costa,,Capim Macio,Natal,RN,,
59075-800,Rua Francisco Ferreira de Lima,,Lagoa Nova,Natal,RN,,
59138-601,Travessa Francisco Figueiredo,,Lagoa Azul,Natal,RN,,
59063-630,Rua Francisco Gorgônio,,Lagoa Nova,Natal,RN,,
59123-398,Rua Francisco Gregório Filho,,Pajuçara,Natal,RN,,
59090-050,Rua Francisco Gurgel,,Ponta Negra,Natal,RN,,
59114-848,Rua Francisco Inácio Sobrinho,,Nossa Senhora da Apresentação,Natal,RN,,
59122-000,Rua Francisco Ivo,,Redinha,Natal,RN,,
59072-886,Rua Francisco Justino Gomes,,Cidade Nova,Natal,RN,,
59066-060,Rua Francisco Luciano de Oliveira,,Candelária,Natal,RN,,
59104-150,Rua Francisco Macena,,Igapó,Natal,RN,,
59082-230,Rua Francisco Maciel Costa,,Capim Macio,Natal,RN,,
59064-380,Rua Francisco Maia Sobrinho,,Lagoa Nova,Natal,RN,,
59075-060,Rua Francisco Maiorana,,Lagoa Nova,Natal,RN,,
59129-795,Rua Francisco Marcelino Sobrinho,,Lagoa Azul,Natal,RN,,
59122-539,Rua Francisco Martins,,Pajuçara,Natal,RN,,
59064-055,Rua Francisco Martins de Assis,,Candelária,Natal,RN,,
59073-278,Rua Francisco Matheus Mendes,,Planalto,Natal,RN,,
59065-760,Rua Francisco Mignone,,Candelária,Natal,RN,,
59133-265,Rua Francisco Morato,,Pajuçara,Natal,RN,,
59032-440,Rua Francisco Pereira,,Alecrim,Natal,RN,,
59138-850,Rua Francisco Pereira da Costa,,Lagoa Azul,Natal,RN,,
59123-613,Rua Francisco Pereira da Silva,,Pajuçara,Natal,RN,,
59082-070,Rua Francisco Pignataro,,Capim Macio,Natal,RN,,
59025-710,Rua Francisco Pinheiro,,Cidade Alta,Natal,RN,,
59125-362,Rua Francisco Quirino,,Pajuçara,Natal,RN,,
59133-510,Rua Francisco Rodrigues Alves,,Pajuçara,Natal,RN,,
59090-315,Rua Francisco Simplício,,Ponta Negra,Natal,RN,,
59073-097,Rua Francisco Soares,,Planalto,Natal,RN,,
59133-550,Rua Francisco Teixeira Rocha,,Pajuçara,Natal,RN,,
59020-190,Rua Francisco Teófilo,,Tirol,Natal,RN,,
59010-136,Travessa Francisco Valentin,,Rocas,Natal,RN,,
59070-490,Rua Francisco Varela,269,Cidade da Esperança,Natal,RN,,
59072-842,Rua Francisco Varela,286,Cidade Nova,Natal,RN,,
59072-844,Rua Francisco Varela,444,Cidade Nova,Natal,RN,,
59064-275,Rua Francisco Varela,600,Candelária,Natal,RN,,
59070-760,Rua Francisco Varela,50135,Cidade da Esperança,Natal,RN,,
59129-782,Rua Francisco das Chagas Souza,,Lagoa Azul,Natal,RN,,
59073-129,Rua Francisco de Assis,,Planalto,Natal,RN,,
59073-325,Rua Francisco de Assis da Silveira,,Planalto,Natal,RN,,
59064-830,Rua Francisco de Souza Matoso,,Candelária,Natal,RN,,
59037-505,Vila Franklin,,Alecrim,Natal,RN,,
59035-163,2ª Vila França,,Quintas,Natal,RN,,
59135-630,Rua França,,Lagoa Azul,Natal,RN,,
59035-161,Vila França,,Quintas,Natal,RN,,
59072-152,Travessa Fraternidade,,Felipe Camarão,Natal,RN,,
59131-140,Rua Frei Agostinho de Jesus,,Pajuçara,Natal,RN,,
59065-270,Rua Frei Caneca,,Candelária,Natal,RN,,
59115-765,Rua Frei Damião,,Nossa Senhora da Apresentação,Natal,RN,,
59122-232,Travessa Frei Damião,,Redinha,Natal,RN,,
59035-610,Vila Frei Damião,,Quintas,Natal,RN,,
59062-242,Vila Frei Damião,,Bom Pastor,Natal,RN,,
59050-020,Rua Frei Henrique de Coimbra,,Quintas,Natal,RN,,
59065-200,Rua Frei Henrique de Coimbra,,Candelária,Natal,RN,,
59073-459,Travessa Frei Marcelino,,Planalto,Natal,RN,,
59012-180,Rua Frei Miguelinho,,Ribeira,Natal,RN,,
59015-180,Rua Frei Orlando,,Tirol,Natal,RN,,
59060-010,Rua Freitas,,Bom Pastor,Natal,RN,,
59031-260,Vila Freitas,,Alecrim,Natal,RN,,
59054-210,Rua Fuad Assad Salha,,Dix-Sept Rosado,Natal,RN,,
59072-472,Travessa Funchal,,Felipe Camarão,Natal,RN,,
59088-040,Rua Furnas,,Neópolis,Natal,RN,,
59088-042,Travessa Furnas,,Neópolis,Natal,RN,,
59031-180,Rua Fábio Rino,,Alecrim,Natal,RN,,
59031-190,Travessa Fábio Rino,,Alecrim,Natal,RN,,
59031-185,Vila Fábio Rino,,Alecrim,Natal,RN,,
59115-675,Rua Fátima Wanderley,,Nossa Senhora da Apresentação,Natal,RN,,
59115-578,Travessa Fátima Wanderley,,Nossa Senhora da Apresentação,Natal,RN,,
59062-590,Rua Félix Falcão,,Nossa Senhora de Nazaré,Natal,RN,,
59015-230,Rua Félix Marquet,,Tirol,Natal,RN,,
59074-165,Travessa Félix,,Felipe Camarão,Natal,RN,,
59104-231,Travessa Félix,,Igapó,Natal,RN,,
59075-055,Vila Félix,,Nova Descoberta,Natal,RN,,
59090-319,Vila Félix,,Ponta Negra,Natal,RN,,
59040-086,Vila Félix,,Alecrim,Natal,RN,,
59073-819,Rua Fênix,,Planalto,Natal,RN,,
59114-287,Travessa Fênix,,Nossa Senhora da Apresentação,Natal,RN,,
59090-312,Vila Gabila,,Ponta Negra,Natal,RN,,
59114-110,Rua Gadelha,,Nossa Senhora da Apresentação,Natal,RN,,
59052-039,Vila Gadelha,,Quintas,Natal,RN,,
59073-259,Travessa Gaivota,,Planalto,Natal,RN,,
59037-130,Rua Galdino Lima,,Quintas,Natal,RN,,
59115-549,Travessa Galeão,,Nossa Senhora da Apresentação,Natal,RN,,
59088-110,Rua Galiléia,,Neópolis,Natal,RN,,
59073-799,Travessa Galáxia,,Planalto,Natal,RN,,
59122-225,Travessa Gameleira,,Redinha,Natal,RN,,
59074-333,Travessa Gandras,,Felipe Camarão,Natal,RN,,
59070-340,Rua Garanhuns,,Cidade da Esperança,Natal,RN,,
59074-415,Rua Gardênia,,Felipe Camarão,Natal,RN,,
59040-088,Travessa Gardênia,,Alecrim,Natal,RN,,
59114-040,Rua Garibaldi Romano,,Nossa Senhora da Apresentação,Natal,RN,,
59114-042,Travessa Garibaldi Romano,,Nossa Senhora da Apresentação,Natal,RN,,
59131-530,Rua Garopaba,,Pajuçara,Natal,RN,,
59075-280,Rua Gastão Mariz,,Nova Descoberta,Natal,RN,,
59062-430,Rua Gaudêncio Torquato do Rego,,Lagoa Nova,Natal,RN,,
59062-320,Rua Genar Wanderley,,Nossa Senhora de Nazaré,Natal,RN,,
59074-156,Travessa Genebra,,Felipe Camarão,Natal,RN,,
59129-694,Travessa Geneide Pinto de Souza,,Lagoa Azul,Natal,RN,,
59075-180,Rua General Aluízio Moura,,Lagoa Nova,Natal,RN,,
59066-170,Rua General André Fernandes,,Candelária,Natal,RN,,
59069-510,Rua General Couto Magalhães,,Pitimbu,Natal,RN,,
59082-350,Rua General Dióscoro Vale,,Capim Macio,Natal,RN,,
59132-220,Rua General Estevildo Antunes dos Santos,,Pajuçara,Natal,RN,,
59078-410,Rua General Felizardo Brito,,Capim Macio,Natal,RN,,
59086-350,Rua General Fernando Leitão,,Neópolis,Natal,RN,,
59056-030,Rua General Francisco Monteiro,,Lagoa Nova,Natal,RN,,
59012-100,Rua General Glicério,,Rocas,Natal,RN,,
59012-105,Travessa General Glicério,,Ribeira,Natal,RN,,
59012-125,Rua General Gustavo Cordeiro de Faria,,Ribeira,Natal,RN,,
59012-570,Rua General Gustavo Cordeiro de Faria,,Petrópolis,Natal,RN,,
59012-142,Rua General Gustavo Cordeiro de Faria,,Rocas,Natal,RN,,
59010-054,Rua General Gustavo Cordeiro de Faria,,Praia do Meio,Natal,RN,,
59020-410,Vila General João Varela,,Tirol,Natal,RN,,
59015-210,Rua General Napion,,Tirol,Natal,RN,,
59015-120,Rua General Oliveira Galvão,,Tirol,Natal,RN,,
59050-140,Rua General Orlando Geisel,,Quintas,Natal,RN,,
59025-150,Rua General Osório,,Cidade Alta,Natal,RN,,
59015-130,Rua General Sampaio,,Tirol,Natal,RN,,
59015-135,Travessa General Sampaio,,Tirol,Natal,RN,,
59015-200,Rua General Severino da Fonseca,,Tirol,Natal,RN,,
59131-540,Rua General Solon,,Pajuçara,Natal,RN,,
59025-120,Rua General Varela,,Cidade Alta,Natal,RN,,
59025-125,Travessa General Varela,,Cidade Alta,Natal,RN,,
59037-190,Praça Gentil Ferreira,,Alecrim,Natal,RN,,
59040-190,Praça Gentil Ferreira,,Alecrim,Natal,RN,,
59129-806,Rua Geovani José dos Santos,,Lagoa Azul,Natal,RN,,
59082-390,Rua Geraldo Barros Pereira,,Capim Macio,Natal,RN,,
59070-070,Rua Geraldo Buriti,,Cidade da Esperança,Natal,RN,,
59070-075,Travessa Geraldo Buriti,,Cidade da Esperança,Natal,RN,,
59078-225,Rua Geraldo Gomes de Lima,,Capim Macio,Natal,RN,,
59010-096,Rua Geraldo Nogueira Nicácio,,Praia do Meio,Natal,RN,,
59114-171,Rua Geraldo de Morais,,Nossa Senhora da Apresentação,Natal,RN,,
59022-392,Vila Gercina,,Lagoa Seca,Natal,RN,,
59056-106,Vila Gerda Maria,,Lagoa Nova,Natal,RN,,
59115-637,Travessa Germana,,Nossa Senhora da Apresentação,Natal,RN,,
59035-215,Vila Germano,,Quintas,Natal,RN,,
59115-626,2ª Travessa Germino Benigno,,Nossa Senhora da Apresentação,Natal,RN,,
59115-585,Rua Germino Benigno,,Nossa Senhora da Apresentação,Natal,RN,,
59114-586,Travessa Germínio Benigno,,Nossa Senhora da Apresentação,Natal,RN,,
59115-602,4ª Travessa Germínio Benígno,,Nossa Senhora da Apresentação,Natal,RN,,
59122-534,Rua Gertrudes Confessor,,Pajuçara,Natal,RN,,
59037-806,Vila Geruza Maria,,Alecrim,Natal,RN,,
59114-191,Rua Gervásio Mota,,Nossa Senhora da Apresentação,Natal,RN,,
59132-692,Rua Getsêmane,,Lagoa Azul,Natal,RN,,
59091-100,Rua Getúlio Lopes de Araújo,,Ponta Negra,Natal,RN,,
59072-630,Rua Getúlio Vargas,,Cidade Nova,Natal,RN,,
59042-230,Rua Getúlio Vargas,,Nordeste,Natal,RN,,
59042-235,Travessa Getúlio Vargas,,Nordeste,Natal,RN,,
59072-635,Travessa Getúlio Vargas,,Cidade Nova,Natal,RN,,
59078-055,Praça Girassol,,Capim Macio,Natal,RN,,
59133-128,Rua Girassol,,Pajuçara,Natal,RN,,
59125-000,Rua Giruá,,Potengi,Natal,RN,,
59073-136,Travessa Gisela,,Planalto,Natal,RN,,
59032-240,Rua Giácomo Palumbo,,Lagoa Seca,Natal,RN,,
59124-555,Rua Glênio Fernandes de Sá,,Potengi,Natal,RN,,
59072-515,Rua Glênio Sá,,Cidade Nova,Natal,RN,,
59073-815,Rua Glória,,Planalto,Natal,RN,,
59063-080,Rua Goianinha,,Lagoa Nova,Natal,RN,,
59131-550,Rua Goiatuba,,Pajuçara,Natal,RN,,
59125-337,Travessa Goitacá,,Pajuçara,Natal,RN,,
59080-390,Rua Goiás,,Neópolis,Natal,RN,,
59037-290,Vila Gomes,,Quintas,Natal,RN,,
59040-012,Vila Gomes,,Alecrim,Natal,RN,,
59025-360,Rua Gonçalves Dias,,Cidade Alta,Natal,RN,,
59025-365,Travessa Gonçalves Dias,,Cidade Alta,Natal,RN,,
59025-330,Rua Gonçalves Ledo,,Cidade Alta,Natal,RN,,
59056-491,Vila Gorete,,Nova Descoberta,Natal,RN,,
59122-401,Travessa Governador Antônio de Melo Souza,,Redinha,Natal,RN,,
59122-400,Avenida Governador Antônio de Melo e Souza,915,Redinha,Natal,RN,,
59125-090,Avenida Governador Antônio de Melo e Souza,1412,Potengi,Natal,RN,,
59123-030,Avenida Governador Antônio de Melo e Souza,1429,Pajuçara,Natal,RN,,
59120-645,Avenida Governador Antônio de Melo e Souza,916,Potengi,Natal,RN,,
59124-525,Avenida Governador Antônio de Melo e Souza,1908,Potengi,Natal,RN,,
59123-405,Avenida Governador Antônio de Melo e Souza,1943,Pajuçara,Natal,RN,,
59138-609,Rua Governador Dinarte Mariz,,Lagoa Azul,Natal,RN,,
59060-115,Travessa Governador Dinarte Mariz,,Bom Pastor,Natal,RN,,
59078-300,Avenida Governador José Varela,,Capim Macio,Natal,RN,,
59022-020,Avenida Governador Juvenal Lamartine,,Tirol,Natal,RN,,
59020-280,Rua Governador Juvenal Lamartine,,Tirol,Natal,RN,,
59025-590,Avenida Governador Rafael Fernandes,139,Cidade Alta,Natal,RN,,
59040-040,Avenida Governador Rafael Fernandes,141,Alecrim,Natal,RN,,
59014-100,Avenida Governador Sílvio Pedroza,,Areia Preta,Natal,RN,,
59065-780,Avenida Governador Tarcísio de Vasconcelos Maia,1511,Candelária,Natal,RN,,
59066-035,Avenida Governador Tarcísio de Vasconcelos Maia,1513,Candelária,Natal,RN,,
59088-010,Rua Governador Valadares,,Neópolis,Natal,RN,,
59080-070,Rua Graciliano Ramos,,Capim Macio,Natal,RN,,
59071-420,Rua Gramado,,Cidade da Esperança,Natal,RN,,
59114-001,Rua Grande Lago,,Nossa Senhora da Apresentação,Natal,RN,,
59072-312,Travessa Grandes Rios,,Felipe Camarão,Natal,RN,,
59074-423,Rua Granja ABC,,Felipe Camarão,Natal,RN,,
59112-280,Rua Gravataí,,Potengi,Natal,RN,,
59124-160,Rua Gravataí,,Potengi,Natal,RN,,
59037-260,Vila Graça Leda,,Alecrim,Natal,RN,,
59114-204,Rua Gregório Ferreira,,Nossa Senhora da Apresentação,Natal,RN,,
59131-435,Rua Grisópolis,,Pajuçara,Natal,RN,,
59060-755,Rua Groelândia,,Bom Pastor,Natal,RN,,
59063-240,Rua Grossos,,Lagoa Nova,Natal,RN,,
59112-270,Rua Grão Pará,,Potengi,Natal,RN,,
59073-089,Travessa Guadalajara,,Planalto,Natal,RN,,
59112-560,Avenida Guadalupe,,Potengi,Natal,RN,,
59072-144,Rua Guaiúba,,Felipe Camarão,Natal,RN,,
59074-375,Travessa Guajá,,Felipe Camarão,Natal,RN,,
59063-260,Rua Guamoré,,Lagoa Nova,Natal,RN,,
59050-053,10ª Travessa Guanabara,,Quintas,Natal,RN,,
59050-121,1ª Vila Guanabara,,Quintas,Natal,RN,,
59014-186,2ª Travessa Guanabara,,Mãe Luiza,Natal,RN,,
59050-126,2ª Travessa Guanabara,,Quintas,Natal,RN,,
59050-122,2ª Vila Guanabara,,Quintas,Natal,RN,,
59014-187,3ª Travessa Guanabara,,Mãe Luiza,Natal,RN,,
59050-127,3ª Travessa Guanabara,,Quintas,Natal,RN,,
59050-128,4ª Travessa Guanabara,,Quintas,Natal,RN,,
59014-188,4ª Travessa Guanabara,,Mãe Luiza,Natal,RN,,
59050-054,9ª Travessa Guanabara,,Quintas,Natal,RN,,
59014-104,Escadaria Guanabara,,Areia Preta,Natal,RN,,
59072-660,Rua Guanabara,,Cidade Nova,Natal,RN,,
59080-730,Rua Guanabara,,Neópolis,Natal,RN,,
59050-120,Rua Guanabara,39,Quintas,Natal,RN,,
59035-120,Rua Guanabara,41,Quintas,Natal,RN,,
59014-180,Rua Guanabara,,Mãe Luiza,Natal,RN,,
59014-106,Rua Guanabara,,Areia Preta,Natal,RN,,
59014-185,Travessa Guanabara,,Mãe Luiza,Natal,RN,,
59050-125,Travessa Guanabara,,Quintas,Natal,RN,,
59072-665,Travessa Guanabara,,Cidade Nova,Natal,RN,,
59050-055,Travessa Guanabara V,,Quintas,Natal,RN,,
59074-472,Vila Guanabara,,Felipe Camarão,Natal,RN,,
59050-056,Travessa GuanabaraVI,,Quintas,Natal,RN,,
59135-290,Rua Guapiara,,Lagoa Azul,Natal,RN,,
59129-400,Rua Guaporé,,Potengi,Natal,RN,,
59071-320,Rua Guarabira,,Cidade da Esperança,Natal,RN,,
59108-100,Rua Guaraciaba do Norte,,Potengi,Natal,RN,,
59114-790,Rua Guaraciara,,Nossa Senhora da Apresentação,Natal,RN,,
59108-020,Rua Guaramiranga,,Potengi,Natal,RN,,
59068-700,Rua Guaramirim,,Pitimbu,Natal,RN,,
59132-530,Rua Guarandi,,Pajuçara,Natal,RN,,
59069-110,Rua Guarani,,Pitimbu,Natal,RN,,
59123-385,Travessa Guarani,,Pajuçara,Natal,RN,,
59115-360,Rua Guaranis,,Nossa Senhora da Apresentação,Natal,RN,,
59135-300,Avenida Guararapes,,Lagoa Azul,Natal,RN,,
59136-150,Rua Guararema,,Lagoa Azul,Natal,RN,,
59124-420,Rua Guarará,,Potengi,Natal,RN,,
59135-500,Avenida Guaratinguetá,,Lagoa Azul,Natal,RN,,
59129-320,Rua Guaraí,,Potengi,Natal,RN,,
59135-780,Rua Guariba,,Lagoa Azul,Natal,RN,,
59135-740,Praça Guarujá,,Lagoa Azul,Natal,RN,,
59080-040,Rua Guarujá,,Capim Macio,Natal,RN,,
59135-410,Praça Guarulhos,,Lagoa Azul,Natal,RN,,
59071-490,Rua Guaíba,,Cidade da Esperança,Natal,RN,,
59135-230,Rua Guaíra,,Lagoa Azul,Natal,RN,,
59078-490,Rua Guilherme Lins de Queiroz,,Capim Macio,Natal,RN,,
59133-116,Rua Guilherme Luiz de Macedo,,Pajuçara,Natal,RN,,
59022-070,Rua Guilherme Tinoco,,Barro Vermelho,Natal,RN,,
59022-475,Vila Guilhermina,,Lagoa Seca,Natal,RN,,
59074-132,Travessa Guimarães,,Felipe Camarão,Natal,RN,,
59060-030,Rua Guimassu,,Bom Pastor,Natal,RN,,
59060-035,Travessa Guimassu,,Bom Pastor,Natal,RN,,
59132-790,Rua Guiomar Novais,,Pajuçara,Natal,RN,,
59132-040,Rua Gurilândia,,Pajuçara,Natal,RN,,
59123-350,Rua Gurupi,,Pajuçara,Natal,RN,,
