cep,logradouro,complemento,bairro,cidade,estado,longitude,latitude
59052-211,1ª Travessa Ajax de Ribamar Dantas,,Dix-Sept Rosado,Natal,RN,,
59052-212,2ª Travessa Ajax de Ribamar Dantas,,Dix-Sept Rosado,Natal,RN,,
59052-213,3ª Travessa Ajax de Ribamar Dantas,,Dix-Sept Rosado,Natal,RN,,
59115-420,Rua Aladim,,Nossa Senhora da Apresentação,Natal,RN,,
59080-580,Rua Alagoas,,Neópolis,Natal,RN,,
59129-304,Rua Alagoinha,,Lagoa Azul,Natal,RN,,
59065-480,Rua Alamanda,,Candelária,Natal,RN,,
59114-165,Travessa Alameda,,Nossa Senhora da Apresentação,Natal,RN,,
59073-088,Travessa Alameda dos Coqueirais,,Planalto,Natal,RN,,
59014-140,Rua Alan Kardec,,Petrópolis,Natal,RN,,
59133-065,Rua Albacora,,Pajuçara,Natal,RN,,
59067-450,Rua Albatroz,,Pitimbu,Natal,RN,,
59073-187,Rua Albertina Bezerra,,Planalto,Natal,RN,,
59072-675,Rua Albertina Bezerra de Araújo,,Cidade Nova,Natal,RN,,
59020-330,Rua Alberto Maranhão,,Tirol,Natal,RN,,
59020-335,Travessa Alberto Maranhão,,Tirol,Natal,RN,,
59022-185,Rua Alberto Silva,,Tirol,Natal,RN,,
59022-300,Rua Alberto Silva,,Lagoa Seca,Natal,RN,,
59054-710,Rua Albino Fernandes Borges,,Lagoa Nova,Natal,RN,,
59082-300,Rua Alcindo Dias de Oliveira,,Capim Macio,Natal,RN,,
59122-343,Rua Alcione Dowsley,,Pajuçara,Natal,RN,,
59108-530,Rua Alcântara,,Potengi,Natal,RN,,
59037-680,Vila Alcântara,,Alecrim,Natal,RN,,
59014-600,Rua Alda Ramalho Pereira,,Tirol,Natal,RN,,
59014-602,Travessa Alda Ramalho Pereira,,Tirol,Natal,RN,,
59104-245,Travessa Aldeia Nova,,Igapó,Natal,RN,,
59082-030,Rua Aldo de Melo Freire,,Capim Macio,Natal,RN,,
59072-442,Vila Alegria,,Felipe Camarão,Natal,RN,,
59065-280,Rua Alexandre Baraúna,,Candelária,Natal,RN,,
59054-410,Rua Alexandre Chaves Neto,,Lagoa Nova,Natal,RN,,
59082-200,Rua Alexandre Câmara,,Capim Macio,Natal,RN,,
59114-236,Rua Alexandre Pinto,,Nossa Senhora da Apresentação,Natal,RN,,
59054-780,Rua Alexandria,,Lagoa Nova,Natal,RN,,
59139-534,Rua Alexandrina da Conceição,,Lagoa Azul,Natal,RN,,
59114-272,Travessa Alfaville,,Nossa Senhora da Apresentação,Natal,RN,,
59092-570,Rua Alfredo Dias de Figueiredo,,Ponta Negra,Natal,RN,,
59042-110,Rua Alfredo Edeltrudes,,Nordeste,Natal,RN,,
59066-080,Rua Alfredo Pegado Cortez,,Candelária,Natal,RN,,
