cep,udh
53437-100,
59132-700,1240810200059
59054-610,1240810200018
59014-012,1240810200002
59060-050,1240810200046
59022-100,1240810200032
59067-600,1240810200019
59035-015,1240810200045
59147-140,1240325100033
59120-000,1240810200053
59621-210,
59143-160,1240325100032
59124-004,1240810200053
59030-130,1240810200035
59127-010,1240810200053
59631-090,
59012-100,1240810200033
59138-370,1240810200059
59297-255,1241200500001
59626-670,
59603-030,
59114-170,1240810200056
59078-310,1240810200013
59564-090,
59065-090,1240810200021
59088-480,1240810200016
59146-405,1240325100023
59020-610,1240810200001
59139-230,1240810200059
59112-220,1240810200053
59010-508,1240810200033
59075-010,1240810200020
59139-450,1240810200004
59614-160,
59120-350,1240810200053
59010-220,1240810200030
59124-330,1240810200053
59106-010,1240810200056
59060-145,1240810200046
59068-070,1240810200019
59068-650,1240810200017
59104-100,1240810200056
59604-456,
59082-510,1240810200013
59144-210,1240325100020
59074-844,1240810200059
59151-735,1240325100008
59090-270,1240810200011
59056-205,1240810200020
59625-035,
59104-220,1240810200056
59084-500,
59054-440,1240810200041
59070-260,1240810200041
59014-250,1240810200002
59123-305,1240810200008
59614-790,
59082-010,1240810200013
59161-460,1240325100026
59062-170,1240810200041
59605-090,
59152-270,1240325100008
59069-100,1240810200048
59010-396,1240810200030
59615-270,
59614-000,
59142-665,1240325100003
59054-110,1240810200041
59600-370,
59074-840,1240810200048
59628-030,
59618-150,
59699-500,
59614-120,
59631-507,
59144-060,1240325100020
59070-030,1240810200041
59131-430,1240810200059
59600-330,
59068-350,1240810200019
59050-250,1240810200046
59120-635,1240810200053
59073-226,1240810200048
59052-062,1240810200041
59082-190,1240810200013
59148-814,1240325100012
59070-120,1240810200041
59621-080,
59060-710,1240810200046
59067-520,1240810200019
59067-480,1240810200019
59066-370,1240810200019
59078-510,1240810200013
59084-200,1240810200013
59135-700,1240810200059
59131-130,1240810200059
59052-070,1240810200046
59138-613,1240810200004
59138-614,1240810200004
59123-285,1240810200008
59293-321,1241200500017
59115-400,1240810200056
59135-140,1240810200059
59142-736,1240325100003
59616-303,
59074-166,1240810200049
59139-290,1240810200059
59072-620,1240810200048
59050-340,1240810200045
59122-005,1240810200007
59138-625,1240810200004
59133-118,1240810200059
59054-010,1240810200041
59614-640,
59022-120,1240810200032
59031-180,1240810200031
59010-060,1240810200030
59070-190,1240810200041
59072-000,1240810200039
59635-050,
59072-580,1240810200041
59613-760,
59150-530,1240325100021
59630-500,
59618-654,
59060-260,1240810200046
59133-341,1240810200059
59618-760,
59080-470,1240810200019
59052-260,1240810200041
59619-660,
59127-690,1240810200053
59605-006,
59067-360,1240810200019
59151-915,1240325100021
59139-440,1240810200004
59014-330,1240810200002
59064-690,1240810200021
59146-640,1240325100001
59133-500,1240810200058
59619-200,
59064-160,1240810200022
59064-010,1240810200038
59014-310,1240810200002
59074-550,1240810200049
59120-390,1240810200053
59082-170,1240810200013
59010-320,1240810200030
59139-830,1240810200004
59146-415,1240810200019
59010-015,1240810200030
59112-010,1240810200053
59014-490,1240810200001
59136-070,1240810200004
59145-840,1240325100031
59145-180,1240325100025
59125-140,1240810200053
51200-020,
59151-310,1240325100021
59054-280,1240810200041
59052-280,1240810200051
59072-680,1240810200048
59298-700,1241200500008
59131-140,1240810200059
59909-500,
59132-210,1240810200059
59122-740,1240810200007
59088-750,1240810200016
59296-551,1241200500022
59525-000,
59124-006,1240810200053
59626-550,
59124-820,1240810200053
59142-642,1240710400010
59042-200,1240810200045
59154-350,1240325100028
59640-256,
59090-515,1240810200012
59143-285,1240325100032
59628-680,
59155-310,1240325100015
59106-150,1240810200056
59114-172,1240810200005
59124-110,1240810200053
59124-320,1240810200053
59115-585,1240810200005
59621-546,
59040-410,1240810200045
59612-690,
59072-852,1240810200041
59082-324,1240810200013
59122-071,1240810200007
59127-130,1240810200053
59607-055,
59014-680,1240810200002
59299-992,
59056-045,1240810200020
59114-670,1240810200055
59031-350,1240810200035
59125-410,1240810200008
59063-450,1240810200022
59296-710,1241200500001
59073-221,1240810200048
59141-350,1240325100029
59072-290,1240810200049
59108-180,1240810200053
59080-095,1240810200013
59140-240,
59140-000,
59139-370,1240810200004
59146-662,1240325100001
59074-810,1240810200048
59127-710,1240810200053
59146-110,1240325100031
59014-240,1240810200002
59144-540,1240325100020
59114-167,1240810200041
59607-208,
59633-342,
59625-638,
59621-614,
59078-170,1240810200013
59127-325,1240810200053
59144-000,1240325100020
59056-200,1240810200020
59632-236,
59090-070,1240810200013
59052-090,1240810200041
59052-050,1240810200046
59032-350,1240810200031
59604-421,
59037-060,1240810200031
59032-060,1240810200031
59607-545,
59295-584,1241200500001
59052-200,1240810200041
59621-120,
59115-120,1240810200055
59062-460,1240810200020
59608-012,
59293-090,1241200500017
59625-487,
59149-360,1240325100014
59065-300,1240810200021
59123-515,1240810200008
59074-440,1240810200049
59625-160,
59614-400,
59114-064,1240810200056
59146-180,1240325100019
59037-200,1240810200031
59600-540,
59133-450,1240810200059
59037-504,1240810200031
59138-390,1240810200059
59621-391,1240710400001
59612-250,
62930-000,
59115-570,1240810200005
59108-520,1240810200054
59074-301,1240810200043
59037-550,1240810200031
59082-040,1240810200013
59628-260,
59145-060,1240325100025
59123-210,1240810200008
59621-560,
59088-112,1240810200016
59032-160,1240810200031
59112-390,1240810200053
59120-090,1240810200053
59607-525,
59078-260,1240810200013
59605-080,
59124-490,1240810200053
59160-000,
59073-112,1240810200048
59155-810,1240325100018
59073-225,1240810200048
59112-610,1240810200053
59065-640,1240810200021
59082-420,1240810200013
59295-886,1241200500008
59025-620,1240810200035
59628-776,
59082-060,1240810200013
59022-610,1240810200032
59146-573,1240325100001
59062-780,1240810200041
59611-110,
59014-520,1240810200001
59078-130,1240810200013
59614-800,
59144-204,1240325100019
59124-280,1240810200053
59068-360,1240810200017
59114-045,1240810200056
59074-010,1240810200049
59143-155,1240325100032
59072-650,1240810200048
59125-418,1240810200008
59135-720,1240810200059
59122-493,1240810200058
59040-080,1240810200023
59625-502,
59106-190,1240810200056
59145-380,1240325100025
59295-820,1241200500008
59054-060,1240810200041
59152-210,1240325100008
59147-445,1240325100017
59065-260,1240810200022
59114-104,1240810200005
59146-160,1240325100019
59072-285,1240810200049
59146-370,1240325100019
59133-380,1240810200008
59050-135,1240810200046
59032-480,1240810200031
59080-600,1240810200019
59129-742,1240810200006
59630-310,
59150-080,1240325100021
59955-000,
59141-025,1240325100002
59157-353,1240325100005
58162-000,
59056-570,1240810200020
59604-400,
59080-290,1240810200019
59604-380,
59144-650,1240325100020
59125-110,1240810200053
59115-522,1240810200056
59141-805,1240325100029
59600-420,
59142-730,1240325100003
59114-057,1240810200056
59010-300,1240810200030
59094-130,1240810200013
59106-200,1240810200056
59600-700,
59104-010,1240810200056
59086-280,1240810200019
59088-030,1240810200016
59122-330,1240810200058
59072-560,1240810200049
59114-680,1240810200055
59133-302,1240810200059
59808-000,
59621-140,
59144-138,1240325100020
59129-220,1240810200053
59075-320,1240810200010
59295-384,1241200500001
59074-826,1240810200048
59022-390,1240810200032
59142-320,1240325100030
59142-310,1240325100029
59072-420,1240810200049
59114-090,1240810200056
59150-600,1240325100021
59067-570,1240810200019
59162-970,1241220300011
59031-500,1240810200031
59160-400,1240325100027
59072-530,1240810200049
59092-200,1240810200013
59092-290,1240810200013
59022-000,1240810200031
59035-151,1240810200046
59140-270,1240325100007
59605-120,
59615-080,
59112-430,1240810200053
59050-520,
59631-170,
59014-210,1240810200002
59616-220,
59605-190,
59129-240,1240810200053
59010-380,1240810200030
59142-692,1240325100030
59086-310,1240810200019
59612-750,
59062-670,1240810200022
59621-377,
59633-435,
59295-096,1241200500007
59132-470,1240810200059
59607-802,
59112-120,1240810200053
59031-175,1240810200031
59114-214,1240810200005
59080-010,1240810200019
59625-488,
59297-462,1241200500001
59139-050,1240810200059
59072-210,1240810200049
59140-610,1240325100004
59291-703,1241200500001
59122-049,1240810200058
59133-326,1240810200059
59052-140,1240810200041
59031-000,1240810200041
59293-453,1241200500017
59020-130,1240810200033
59082-430,1240810200013
59068-020,1240810200019
59150-490,1240325100021
59090-415,1240810200013
59625-510,
59129-760,1240810200006
59020-435,1240810200001
59010-410,1240810200030
59060-235,1240810200020
59612-080,
59114-265,1240810200005
59012-310,1240810200001
59930-000,
59146-553,1240325100001
59056-420,1240810200048
59147-145,1240325100033
59125-430,1240810200008
59114-590,1240810200055
59075-070,1240810200020
59020-265,1240810200001
64045-550,
59030-180,1240810200035
59075-310,1240810200010
59149-286,1240325100014
59062-350,1240810200022
59092-350,1240810200013
59124-180,1240810200053
59633-440,
59014-410,1240810200002
59632-280,
59120-340,1240810200053
59112-110,1240810200053
59070-410,1240810200041
59618-240,
59084-130,1240810200016
59014-170,1240810200003
59074-120,1240810200049
59148-783,1240325100024
59108-700,1240810200053
59060-030,1240810200046
59152-650,1240325100021
59127-460,1240810200053
59114-096,1240810200056
59073-349,1240810200048
59628-300,
59298-198,1241200500010
59052-210,1240810200041
59628-770,
59114-739,1240810200005
59628-800,
59626-400,
59114-110,1240810200056
59060-095,1240810200046
59072-615,1240810200048
59110-180,1240810200053
59035-390,1240810200045
59123-340,1240810200007
59052-240,1240810200041
59080-015,1240810200019
59073-218,1240810200048
59600-020,
59072-040,1240810200039
59060-520,1240810200041
59605-100,
59020-395,1240810200001
59074-110,1240810200049
59068-160,1240810200019
59621-485,
59074-185,1240810200049
59072-200,1240810200049
59010-510,1240810200033
59612-640,
59074-360,1240810200049
59565-291,
59152-220,1240325100008
59054-090,1240810200051
59600-470,
59071-140,1240810200041
59628-824,
59040-090,1240810200031
59147-125,1240325100033
59127-160,1240810200053
59139-525,1240810200004
59139-240,1240810200004
59115-390,1240810200056
59094-210,1240810200013
59612-500,
59153-025,1240325100021
59090-190,1240810200012
59074-144,1240810200049
59056-285,1240810200020
59067-500,1240810200019
59015-270,1240810200001
59114-101,1240810200005
59075-020,1240810200020
59149-120,1240325100012
59112-495,1240810200053
59035-316,1240810200045
59015-060,1240810200001
59030-140,1240810200035
59131-050,1240810200059
59143-265,1240325100032
59145-080,1240325100025
59080-450,1240810200019
59296-078,1241200500008
59296-277,1241200500008
59073-276,1240810200042
59607-210,
59114-390,1240810200055
59115-690,1240810200005
59073-120,1240810200042
59147-420,1240325100017
59133-125,1240810200058
59052-010,1240810200046
59634-128,
59770-000,
59293-609,1241200500016
59621-372,
59071-110,1240810200041
59070-350,1240810200041
59114-080,1240810200056
59626-217,
59056-386,1240810200001
59151-550,1240325100021
59147-075,1240325100033
59146-450,1240325100023
59035-510,1240810200045
59130-350,
59037-080,1240810200031
59127-370,1240810200053
59032-420,1240810200025
59074-075,
59031-280,1240810200026
59133-135,1240810200058
59146-235,1240325100019
59141-620,1240325100029
59025-090,1240810200033
59010-390,1240810200030
59066-330,1240810200019
59110-130,1240810200053
59122-498,1240810200058
59122-496,1240810200058
59293-150,1241200500016
59106-250,1240810200056
59632-187,
59084-430,1240810200016
59110-550,1240810200053
59150-150,1240325100021
59148-706,1240325100012
59060-231,1240810200046
59632-285,
59074-820,1240810200048
59092-140,1240810200013
59127-090,1240810200053
59123-225,1240810200008
59014-350,1240810200002
59071-520,1240810200041
59115-050,1240810200055
59030-380,1240810200032
59075-760,1240810200020
59140-810,1240325100009
59133-232,1240810200059
59086-410,1240810200016
59158-155,1240325100022
59124-560,1240810200053
59032-460,1240810200031
59115-140,1240810200055
59125-250,1240810200059
59114-114,1240810200005
59127-060,1240810200053
59112-070,1240810200053
59104-239,1240810200056
59070-209,
59086-647,1240810200019
59987-000,
59141-220,1240325100031
96845-456,
59014-005,1240810200002
59145-660,1240325100031
59073-016,1240810200048
59131-220,1240810200059
59072-600,1240810200048
59025-760,1240810200023
59076-740,1240810200013
59080-730,1240810200019
59073-382,1240810200042
59060-560,1240810200041
59626-630,
59078-580,1240810200013
59135-520,1240810200059
59025-600,1240810200033
59074-829,1240810200056
59129-840,1240810200006
59070-440,1240810200041
59088-150,1240810200016
59037-090,1240810200031
59607-145,
59618-020,
59064-130,1240810200022
59129-340,1240810200053
59151-913,1240325100021
59131-360,1240810200059
59014-300,1240810200030
59151-440,1240325100021
59065-390,1240810200021
59094-460,1240810200013
59037-340,1240810200031
59072-136,1240810200049
64049-790,
59631-250,
59151-906,1240325100008
59060-070,1240810200046
59115-550,1240810200056
59110-140,1240810200053
59144-575,1240325100020
59124-100,1240810200053
59015-430,1240810200001
59626-610,
59054-560,1240810200020
59080-070,1240810200013
59094-050,1240810200013
59125-358,1240810200008
59140-365,1240325100004
59150-426,1240325100021
59330-971,
59064-100,
59088-370,1240810200016
59074-420,1240810200049
59078-550,1240810200013
59112-060,1240810200053
59078-110,1240810200013
59155-360,1240325100006
59022-545,1240810200032
59012-420,1240810200033
59156-785,1240325100005
59062-500,1240810200020
59064-741,1240810200021
59020-280,1240810200001
59144-180,1240325100020
59068-450,1240810200019
59600-290,
59064-041,
59090-620,1240810200011
59074-155,1240810200049
59020-315,1240810200001
59090-220,1240810200011
59612-000,
59115-681,1240810200005
59145-640,1240325100025
59631-420,
59294-000,1241200500017
59605-010,
59613-670,
59619-000,
59133-264,1240810200059
59076-700,1240810200013
59056-700,1240810200020
59020-570,1240810200001
59125-355,1240810200008
59297-702,1241200500001
59063-010,1240810200022
59030-470,1240810200032
59600-260,
59146-250,1240325100019
59600-310,
59020-030,1240810200001
59631-500,
59140-046,1240325100007
59030-030,1240810200035
59945-000,
59069-250,1240810200017
59253-462,
59293-462,1241200500017
59064-590,1240810200021
59025-200,1240810200033
59112-160,1240810200053
59092-320,1240810200013
59082-165,1240810200013
59071-170,1240810200041
59114-163,1240810200005
59633-820,
59614-760,
59082-090,1240810200013
59147-480,1240325100017
59072-450,1240810200041
59074-013,1240810200049
59156-202,1240325100005
59094-340,1240810200013
59139-130,1240810200059
59078-160,1240810200013
59073-214,1240810200045
59123-215,1240810200008
59104-360,1240810200056
59122-338,1240810200058
59150-446,1240325100021
59631-450,
59131-100,1240810200059
59610-180,
59069-350,1240810200017
59073-804,1240810200048
59621-445,
59115-687,1240810200005
59020-300,1240810200001
59143-020,1240325100032
59076-770,1240810200013
58255-000,
59296-811,1241200500001
59122-390,1240810200058
59160-530,1240325100027
59145-256,1240325100025
59161-560,1240325100026
59073-078,1240810200048
59603-100,
59072-430,1240810200049
59122-100,1240810200058
59145-550,1240325100025
59076-200,1240810200020
59600-445,
59040-411,1240810200045
59114-671,1240810200005
59014-120,1240810200003
59297-654,1241200500001
59129-431,1240810200006
59071-270,1240810200041
59133-050,1240810200059
59056-330,1240810200020
59014-008,1240810200002
59104-180,1240810200053
59141-145,1240325100031
59138-730,1240810200004
59040-140,1240810200035
59153-150,1240325100021
59012-275,1240810200033
59078-380,1240810200013
59025-470,1240810200035
59153-020,1240325100021
59143-240,1240325100032
59618-060,
59066-220,1240810200019
59056-480,1240810200020
59065-150,1240810200021
59075-060,1240810200020
58700-970,
59064-340,1240810200022
59114-230,1240810200005
59148-826,1240325100012
59124-750,1240810200053
59068-170,1240810200019
59015-070,1240810200001
59133-113,1240810200059
59074-710,1240810200048
59114-094,1240810200056
60590-000,
62590-000,
59293-492,1241200500017
59065-490,1240810200021
59077-060,1240810200013
59616-071,
59114-250,1240810200056
59014-055,1240810200001
59090-450,1240810200013
59135-340,1240810200059
59621-700,
59618-070,
59114-254,1240810200056
59092-160,1240810200013
59143-205,1240325100029
59065-160,1240810200021
59094-450,1240810200013
59031-340,1240810200035
59122-044,1240810200057
59617-260,
59120-140,1240810200053
59115-610,1240810200056
59104-302,1240810200056
59614-650,
59295-799,1241200500001
59110-200,1240810200053
59633-810,
59124-390,1240810200053
59014-002,1240810200003
59071-450,
59115-595,1240810200005
59615-422,
59010-740,1240810200030
59146-038,1240325100025
59150-613,1240325100021
59608-015,
59104-080,1240810200056
59131-520,1240810200059
59025-580,1240810200035
59604-342,
59146-265,1240325100019
59068-700,1240810200019
59100-290,
59088-120,1240810200016
59010-540,1240810200033
59150-830,1240325100021
59065-580,1240810200021
59150-475,1240325100021
59080-620,1240810200019
59141-650,1240325100029
59146-587,1240325100001
59060-243,1240810200046
59614-490,
59006-051,
59621-060,
59112-170,1240810200053
59145-400,1240325100025
59600-240,
59073-366,1240810200042
59062-160,1240810200041
59147-230,1240325100033
59110-410,1240810200053
59092-540,1240810200013
05909-436,
59022-220,1240810200031
59626-540,
59143-090,1240325100020
59146-353,1240325100019
59022-385,1240810200031
59125-350,1240810200008
59133-131,1240810200008
59146-330,1240325100019
59607-380,
59106-170,1240810200056
59072-433,1240810200049
59626-260,
59295-399,1241200500007
59073-208,1240810200048
59092-440,1240810200013
59145-760,1240325100031
59030-640,1240810200032
59076-400,1240810200020
69301-970,
59072-773,1240810200049
59090-280,1240810200011
59014-160,1240810200003
59035-030,1240810200045
59122-027,1240810200057
59607-832,
59060-066,1240810200046
59610-030,
59608-014,
59925-000,
59142-652,1240710400010
59140-036,1240325100007
59070-040,1240810200041
59127-120,1240810200053
59114-219,1240810200056
59074-380,1240810200049
59086-650,1240810200016
59062-257,1240810200046
59074-131,1240810200049
59122-632,1240810200058
59015-040,1240810200001
59122-225,1240810200007
59071-530,1240810200041
59064-285,1240810200041
59074-824,1240810200020
59092-210,1240810200013
59040-310,1240810200031
59054-000,1240810200041
59142-815,1240710400010
59020-500,1240810200001
59296-168,1241200500008
59140-020,1240325100007
59145-360,1240325100025
59060-650,1240810200046
59073-060,1240810200042
59625-350,
59064-570,1240810200022
59604-240,
59115-685,1240810200005
59025-110,1240810200033
59114-112,1240810200005
59625-010,
59073-806,1240810200048
59145-460,1240325100025
59611-040,
59114-050,1240810200056
59607-585,
59295-889,1241200500008
59070-280,1240810200041
59056-170,1240810200020
59020-510,1240810200001
59056-380,1240810200001
59114-235,1240810200056
59155-370,1240325100015
59146-170,1240325100019
59142-727,1240325100003
59129-010,1240810200053
59110-420,1240810200053
59084-150,1240810200016
59060-490,1240810200041
59122-425,1240810200058
59158-210,1240325100028
59112-190,1240810200053
59035-165,1240810200045
59072-720,1240810200056
59295-195,1241200500006
59157-410,1240325100005
69050-160,
59151-900,1240325100021
59129-200,1240810200053
59139-330,1240810200059
59012-340,1240810200001
59198-400,
59298-117,1241200500010
59124-520,1240810200053
59090-311,1240810200011
59073-199,1240810200048
59042-008,1240810200045
59054-100,
59042-280,1240810200045
59075-190,1240810200020
59999-999,
59062-640,1240810200037
59020-140,1240810200001
59070-160,1240810200041
59612-420,
59612-208,
59114-560,1240810200055
59125-420,1240810200008
59054-410,1240810200020
59060-080,1240810200046
59108-331,1240810200056
59064-700,1240810200021
59037-801,1240810200031
59014-580,1240810200001
59140-630,1240325100004
59080-250,1240810200019
59151-430,1240325100021
59025-240,1240810200033
59293-369,1241200500016
59056-120,1240810200020
59022-540,1240810200032
59122-515,1240810200008
59050-133,1240810200046
59625-604,
59065-070,1240810200021
59068-310,1240810200017
59106-090,1240810200056
59075-315,1240810200010
63575-000,
59619-755,
59140-405,1240325100004
59012-300,1240810200033
59050-090,1240810200046
59614-200,
59042-340,1240810200060
59295-605,1241200500007
59628-390,
59618-220,
59090-420,1240810200013
59062-370,1240810200022
12221-010,
59115-445,1240810200056
59066-350,1240810200019
59078-070,1240810200013
59135-400,1240810200059
59633-844,
59012-220,1240810200001
59145-500,1240325100025
59122-470,1240810200058
59156-850,1240325100005
59071-480,1240810200041
59139-515,1240810200004
59146-650,1240325100023
59131-160,1240810200059
59124-510,1240810200053
59123-565,1240810200008
59296-856,1241200500021
59092-250,1240810200013
59147-606,1240325100033
59040-040,1240810200035
59158-232,1240325100028
59075-080,1240810200020
59068-460,1240810200019
59035-070,1240810200045
59012-150,1240810200030
59151-415,1240325100021
59603-340,
59132-110,1240810200059
59626-750,
59056-385,1240810200020
59633-360,
59078-050,1240810200013
59091-250,1240810200016
59080-115,1240810200013
59072-315,1240810200049
59131-550,1240810200059
59075-210,1240810200020
50810-240,
59040-230,1240810200031
59091-170,1240810200016
59012-380,1240810200033
59618-230,
59137-250,
59012-090,1240810200030
59074-101,1240810200049
59092-450,1240810200013
62660-000,
59152-150,1240325100008
59127-580,1240810200058
59153-015,1240325100021
59108-330,1240810200053
59607-740,
59295-423,1241200500007
59617-330,
59073-240,1240810200048
59101-040,1241200500001
59030-185,1240810200035
59296-892,1241200500021
59150-500,
59066-010,1240810200022
59140-750,1240325100029
59144-310,1240325100020
59158-170,1240325100022
59152-845,1240325100021
59032-180,1240810200031
59141-775,1240325100029
59147-465,1240325100017
59072-120,1240810200039
59149-255,1240325100012
59152-370,1240325100021
59066-420,1240810200022
59140-510,1240325100004
59062-290,1240810200037
59158-198,1240325100010
59076-110,1240810200020
59619-010,
59076-050,1240810200020
59150-300,1240325100021
59297-466,1241200500001
59298-126,1241200500001
59132-770,1240810200059
59122-210,1240810200007
59131-280,1240810200059
59226-000,
59086-530,1240810200016
59132-030,1240810200059
59064-370,1240810200022
59091-900,1240810200016
59062-360,1240810200022
59626-250,
59074-828,1240810200048
59112-320,1240810200053
59074-616,1240810200048
59138-868,1240810200004
59634-062,
59604-446,
59042-540,1240810200045
59129-550,1240810200053
59090-520,1240810200011
59073-251,1240810200042
59139-200,1240810200004
59088-010,1240810200016
59090-277,1240810200011
59030-260,1240810200032
59138-340,1240810200059
59950-000,
59612-066,
59074-650,1240810200048
59607-540,
59073-267,1240810200042
59141-510,1240325100029
59072-253,1240810200049
59050-005,1240810200046
59052-030,1240810200046
59296-829,1241200500001
59071-560,1240810200041
59114-300,1240810200056
59074-735,1240810200048
59139-460,1240810200004
59030-250,1240810200032
59060-680,1240810200049
59136-350,1240810200004
59155-574,
59605-020,
59030-370,1240810200032
59157-206,1240325100005
59086-300,1240810200019
59114-530,1240810200055
59148-773,1240325100012
59075-246,1240810200010
59149-326,1240325100014
59291-186,1241200500008
59138-170,1240810200059
59069-190,1240810200017
59600-365,
59628-773,
59050-000,1240810200046
50740-100,
59616-668,
59112-550,1240810200053
59040-220,1240810200035
59293-363,1241200500016
59136-190,1240810200004
59000-240,
59104-295,1240810200053
59120-110,1240810200053
59120-050,1240810200053
59296-835,1241200500001
59618-652,
59142-270,1240325100030
59618-050,
59132-360,1240810200059
59138-770,1240810200059
59129-474,1240810200059
59603-970,
59625-188,
59633-620,
59073-222,1240810200056
59114-105,1240810200053
59108-490,1240810200053
59152-825,1240325100031
59014-165,1240810200003
59090-575,1240810200013
59141-265,1240325100029
59605-030,
59020-060,1240810200001
59127-480,1240810200053
59296-235,1241200500008
59064-735,1240810200022
59062-410,1240810200022
59035-080,1240810200045
59086-480,1240810200016
59030-450,1240810200032
59084-210,1240810200013
59140-200,1240325100007
59063-270,1240810200020
59092-565,1240810200013
59068-410,1240810200019
59065-170,1240810200021
59124-150,1240810200053
59156-234,1240325100005
59088-700,
59155-160,1240325100015
59628-430,
59075-300,
59142-125,1240325100030
59146-000,1240325100025
59065-210,1240810200021
59068-260,1240810200019
53110-110,
59072-431,1240810200049
59090-656,1240810200011
59147-440,1240325100017
59143-280,1240325100032
59611-210,
59626-200,
59129-740,1240810200006
63908-340,
59145-330,1240325100025
59140-465,1240325100004
59060-510,1240810200041
59115-673,1240810200005
59063-110,1240810200022
59065-460,1240810200021
58309-000,
59135-320,1240810200059
59064-391,1240810200021
59115-617,1240810200005
59070-705,1240810200038
59042-080,1240810200046
59007-060,
59035-045,1240810200045
59114-156,1240810200055
59138-500,1240810200059
59135-200,1240810200059
59115-480,1240810200056
59604-420,
59040-011,1240810200045
59120-480,1240810200053
59114-229,1240810200056
59114-734,1240810200005
59064-360,1240810200020
59114-020,1240810200056
59037-380,1240810200031
59145-520,1240325100025
59145-037,1240325100025
59155-430,1240325100015
59071-160,1240810200041
59600-415,
59115-571,1240810200005
59065-430,1240810200022
59291-222,1241200500009
59072-660,1240810200048
59296-644,1241200500006
59025-160,1240810200035
59000-001,
59092-150,1240810200012
59062-680,1240810200022
59152-110,1240325100008
59056-171,1240325100021
59129-820,1240810200059
59030-400,1240810200035
59600-324,
59120-591,1240810200053
59120-280,1240810200053
59114-257,1240810200005
59150-015,1240810200019
59124-710,1240810200053
59115-340,1240810200055
59090-275,1240810200011
59088-650,
59114-198,1240810200056
59071-190,1240810200041
59080-097,1240810200013
59145-455,1240325100030
59075-777,
59050-080,1240810200046
59067-150,
59108-000,1240810200053
59050-120,1240810200046
59133-337,1240810200059
59065-530,1240810200021
59090-650,1240810200012
59161-700,1240325100026
59090-510,1240810200013
59132-710,1240810200059
59114-760,1240810200055
59025-125,1240810200033
59150-220,1240325100021
59070-085,1240810200041
59145-525,1240325100025
59056-040,1240810200020
59056-425,1240810200020
59063-400,1240810200020
59157-286,1240325100005
59139-570,1240810200004
59152-630,1240325100021
59614-310,
59142-682,1240325100003
59625-080,
59145-700,1240325100025
59115-592,1240810200056
59114-211,1240810200005
59072-864,1240810200041
59151-370,1240325100021
59609-000,
59621-310,
59064-368,1240810200022
56290-000,
59054-540,1240810200031
59138-380,1240810200059
59069-170,1240810200017
59633-645,
59074-882,1240810200048
59075-330,1240810200010
59065-480,1240810200021
59022-190,1240810200032
59062-200,1240810200041
59078-450,1240810200013
59068-400,1240810200019
59129-530,1240810200059
59155-052,1240325100015
59070-220,1240810200041
59605-263,
59010-050,1240810200036
59604-330,
59124-380,1240810200053
59124-440,1240810200053
59633-120,
59147-505,1240325100017
59129-090,1240810200053
59700-700,
59120-120,1240810200053
59072-690,1240810200048
59635-001,
59632-056,
59060-470,1240810200041
59123-290,1240810200008
59071-210,1240810200041
59140-780,1240325100009
59010-150,1240810200030
59014-276,1240810200002
59070-090,1240810200041
59148-663,1240325100012
59131-560,1240810200059
59155-410,1240325100015
59122-180,1240810200058
59068-340,1240810200019
59114-371,1240810200005
59115-525,1240810200005
59090-521,1240810200013
59150-520,1240325100021
59070-210,1240810200041
59040-070,1240810200035
59149-025,1240325100012
59622-750,
59142-420,1240325100030
59030-340,1240810200032
59037-410,1240810200031
59060-195,1240810200041
29070-320,
59064-280,1240810200022
59612-330,
59613-790,
59088-190,1240810200016
59131-230,1240810200059
59110-260,1240810200053
59050-160,1240810200016
59135-550,1240810200059
59024-330,
59114-665,1240810200005
59290-053,1241200500001
59037-580,1240810200031
59115-683,1240810200005
59090-630,1240810200011
59149-420,1240325100028
59280-005,
59067-410,1240810200019
59054-150,1240810200041
59076-000,1240810200022
59022-370,1240810200031
59104-263,1240810200053
59067-380,1240810200019
59607-000,
59628-452,
59140-420,
28890-000,
59614-070,
59297-486,1241200500001
59025-747,1240810200034
59152-900,1240325100021
59087-370,
59157-408,1240325100005
59124-670,1240810200053
15670-000,
59091-100,1240810200016
59141-230,1240325100031
59618-140,
59140-360,1240325100004
59100-014,
59633-710,
59139-600,1240810200004
60873-740,
59621-370,
59095-517,
59621-466,
59054-730,1240810200020
59631-520,
59152-155,1240325100008
55930-000,
59995-000,
59612-670,
59106-230,1240810200056
59129-260,1240810200053
59605-260,
59297-591,1241200500001
59114-193,1240810200005
59014-290,1240810200002
59094-290,1240810200013
59086-220,1240810200019
59135-170,1240810200059
59037-530,1240810200031
59628-560,
59293-813,1241200500016
59612-350,
59133-129,1240810200008
59072-710,1240810200048
59122-015,1240810200058
59073-138,1240810200042
59634-100,
59065-470,1240810200021
59065-190,1240810200021
58178-970,
59114-082,1240810200056
59115-560,1240810200005
59040-200,1240810200031
59151-035,1240325100021
59140-590,1240325100004
59122-620,1240810200058
59161-655,1240325100026
59133-470,1240810200004
59022-330,1240810200031
59144-276,1240325100020
59067-630,1240810200019
59066-060,1240810200019
59291-643,1241200500001
59254-580,
59632-295,
58840-000,
59068-300,1240810200019
59150-045,1240325100021
59296-391,1241200500007
59607-590,
59150-630,1240325100021
59143-030,1240325100032
59152-001,1240325100008
59064-300,1240810200022
58865-000,
59632-274,
59114-640,1240810200055
