logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Vila São Raimundo,,Ponta Negra,Natal,RN,59090-272,-35.1715809,-5.886482
Vila São Ricardo,,Dix-Sept Rosado,Natal,RN,59054-051,-35.2248985,-5.8084932
Rua São Romualdo,,Planalto,Natal,RN,59073-098,-35.253008,-5.8515269
Rua São Romão,,Nossa Senhora de Nazaré,Natal,RN,59060-460,-35.2305401,-5.8192891
Rua São Romão,,Cidade Nova,Natal,RN,59072-610,-35.2395284,-5.8340738
Rua São Roque,,Lagoa Azul,Natal,RN,59139-529,-35.2689735,-5.7246739
Travessa São Roque,,Pajuçara,Natal,RN,59123-330,-35.2439636,-5.746394599999999
Vila São Roque,,Nossa Senhora de Nazaré,Natal,RN,59062-230,-35.2306384,-5.8164851
Rua São Rufino,,Pajuçara,Natal,RN,59123-700,-35.2488814,-5.736044499999999
Rua São Sebastião,,Rocas,Natal,RN,59010-670,-35.202383,-5.770515
Rua São Sebastião,,Pajuçara,Natal,RN,59123-293,-35.2441542,-5.7384531
Rua São Sebastião,,Felipe Camarão,Natal,RN,59072-350,-35.2450419,-5.8321454
Rua São Sebastião,,Cidade Nova,Natal,RN,59072-490,-35.2435444,-5.830434599999999
Rua São Sebastião,,Nossa Senhora de Nazaré,Natal,RN,59062-770,-35.2450419,-5.8321454
Travessa São Sebastião,,Rocas,Natal,RN,59010-671,-35.2014772,-5.7712984
Travessa São Sebastião,,Alecrim,Natal,RN,59037-504,-35.2202261,-5.8039327
Travessa São Sebastião,,Igapó,Natal,RN,59106-026,-35.2721899,-5.7673378
Travessa São Sebastião,,Bom Pastor,Natal,RN,59060-061,-35.2202261,-5.8039327
Vila São Sebastião,,Bom Pastor,Natal,RN,59060-062,-35.2450419,-5.8321454
Rua São Severino,,Bom Pastor,Natal,RN,59060-040,-35.2418363,-5.806112799999999
Travessa São Severino,,Nossa Senhora da Apresentação,Natal,RN,59115-607,-35.2695122,-5.741477499999999
Vila São Severino,,Alecrim,Natal,RN,59032-280,-35.2233409,-5.7970703
Rua São Severino dos Ramos,,Pajuçara,Natal,RN,59123-550,-35.2461156,-5.738067300000001
Rua São Severino dos Ramos,,Nossa Senhora da Apresentação,Natal,RN,59115-660,-35.2775857,-5.7517409
Travessa São Severino dos Ramos,,Nossa Senhora da Apresentação,Natal,RN,59115-661,-35.280509,-5.7495091
Rua São Silvestre,,Planalto,Natal,RN,59073-145,-35.2491342,-5.856017
Rua São Silvestre,,Pajuçara,Natal,RN,59123-240,-35.2394382,-5.7447427
Travessa São Silvestre,,Nossa Senhora da Apresentação,Natal,RN,59115-659,-35.2757643,-5.750192900000001
Travessa São Silvestre,,Pajuçara,Natal,RN,59123-294,-35.2394382,-5.7447427
Travessa São Tarcisio,,Planalto,Natal,RN,59073-111,-35.2503392,-5.8496807
Rua São Tiago,,Igapó,Natal,RN,59104-040,-35.2511484,-5.774257599999999
Rua São Tiago,,Felipe Camarão,Natal,RN,59072-270,-35.2454904,-5.823300199999999
Rua São Tomaz de Aquino,,Candelária,Natal,RN,59065-630,-35.2204626,-5.8327611
Rua São Tomé,,Cidade Alta,Natal,RN,59025-030,-35.2059362,-5.7823401
Rua São Tomé,,Planalto,Natal,RN,59073-265,-35.2590851,-5.856447999999999
Rua São Valentim,,Lagoa Azul,Natal,RN,59139-775,-35.2437118,-5.7209695
Rua São Valério,,Planalto,Natal,RN,59073-243,-35.2529908,-5.8575484
1ª Travessa São Vicente,,Lagoa Nova,Natal,RN,59054-611,-35.2276424,-5.809861100000001
2ª Travessa São Vicente,,Lagoa Nova,Natal,RN,59054-612,-35.2276424,-5.809861100000001
Rua São Vicente,,Felipe Camarão,Natal,RN,59074-413,-35.2530444,-5.8312067
Rua São Vicente,,Pajuçara,Natal,RN,59133-372,-35.2299853,-5.7373018
Rua São Vicente,,Cidade Nova,Natal,RN,59072-615,-35.2390926,-5.834467399999999
Rua São Vicente,,Lagoa Nova,Natal,RN,59054-610,-35.2166308,-5.810438899999999
Rua São Vicente,,Alecrim,Natal,RN,59037-660,-35.2175082,-5.7992214
Rua São Vicente,,Igapó,Natal,RN,59104-340,-35.2659233,-5.7670862
Rua São Vicente,,Dix-Sept Rosado,Natal,RN,59052-834,-35.2175082,-5.7992214
Travessa São Vicente,,Lagoa Nova,Natal,RN,59052-510,-35.2278419,-5.809737999999999
Travessa São Vicente,,Lagoa Nova,Natal,RN,59054-651,-35.2278419,-5.809737999999999
Vila São Vicente,,Lagoa Nova,Natal,RN,59054-615,-35.2166308,-5.810438899999999
Vila São Vicente,,Quintas,Natal,RN,59035-105,-36.6830252,-6.2193312
Vila São Vicente,,Quintas,Natal,RN,59035-337,-36.6830252,-6.2193312
Praça São Vicente de Paula,,Igapó,Natal,RN,59104-010,-35.2504021,-5.7757046
Vila São Vicente de Paula,,Quintas,Natal,RN,59035-330,-35.239098,-5.857055
Travessa São Vítor,,Nossa Senhora da Apresentação,Natal,RN,59115-573,-35.2731617,-5.750419
Rua Sérgio Santiago,,Nossa Senhora da Apresentação,Natal,RN,59115-681,-35.272521,-5.7461506
Rua Sérgio Severo,,Lagoa Nova,Natal,RN,59063-380,-35.2155461,-5.8192154
Rua Sílvio Barreto Filho,,Ponta Negra,Natal,RN,59090-185,-35.1744323,-5.884335800000001
Rua Sílvio Caldas,,Cidade da Esperança,Natal,RN,59070-250,-35.2327608,-5.824146499999999
