cep,longitude,latitude
59037-090,-35.22513900459197,-5.798053218427095
59114-112,-35.272274918515365,-5.756999953071116
59122-376,-35.23776056821273,-5.7512726916355374
59072-887,-35.24234999999993,-5.834539999999947
59086-320,-35.211356019153435,-5.865830214919384
59114-251,-35.28519495170804,-5.759724951702973
59090-577,-35.176247524132016,-5.889416630910003
59082-120,-35.20131650765789,-5.865245526747152
59032-180,-35.21356365956203,-5.807743366602257
59062-050,-35.2351748967707,-5.812639948359058
59030-470,-35.2091133875246,-5.7978019115109385
59090-330,-35.17116862299119,-5.885952323576468
59104-308,-35.267424939790466,-5.764894972445859
59025-570,-35.210224946593044,-5.786939943575739
59062-660,-35.269389909351894,-5.7238549532945475
59139-528,-35.269389909351894,-5.7238549532945475
59052-150,-35.233919191183034,-5.810657303055256
59052-151,-35.2340702968471,-5.810352597220643
59122-406,-35.235195385054155,-5.755129189011967
59071-440,-35.240642266219204,-5.821914270660463
59078-290,-35.2071585090368,-5.846912225167537
59086-580,-35.21095091333047,-5.864552846015108
59086-025,-35.208884931732385,-5.862154972675334
59014-640,-35.19294988605797,-5.784394946314577
59074-556,-35.26137205945703,-5.839753458566976
59074-857,-35.26137205945703,-5.839753458566976
59074-859,-35.26134994591649,-5.8402699492127965
59129-482,-35.26531990862699,-5.74306495522292
59114-050,-35.26691303074888,-5.7623379249172775
59054-240,-35.21268422547197,-5.809189236685017
59054-245,-35.22294405068626,-5.807516607812794
59114-055,-35.26691303074888,-5.7623379249172775
59022-030,-35.205878691751096,-5.7936285582983365
59131-440,-35.23436907830654,-5.812564339478628
59062-780,-35.23436907830654,-5.812564339478628
59090-590,-35.17416981218025,-5.888783778201858
59074-886,-35.25959490112011,-5.8412199541186975
59124-690,-35.247356535673795,-5.747305696253703
59073-126,-35.25201489462145,-5.852344960836853
59064-340,-35.22203546903633,-5.831406815665348
59064-362,-35.22084894255229,-5.828058893439241
59107-005,-35.24847056011774,-5.763327161214619
59064-330,-35.223329034880315,-5.830447828088652
59064-364,-35.22220611891916,-5.8275149613428585
59090-270,-35.16666993739393,-5.889014949039093
59050-230,-35.247169999999976,-5.813899999999932
59020-015,-35.24075702998143,-5.722307437684886
59035-251,-35.232399999999984,-5.802709999999934
59040-261,-35.20930999999996,-5.7911099999999465
59090-271,-35.16666993739393,-5.889014949039093
59104-255,-35.27057999999994,-5.7693899999999285
59042-610,-35.245685174662704,-5.795361385818644
59124-600,-35.24858487273664,-5.7414950689991375
59088-112,-35.20288491398232,-5.8781849643579624
59025-170,-35.20539460206925,-5.7896525260335965
59020-130,-35.205376625197125,-5.789658916210621
59050-091,-35.232399999999984,-5.802709999999934
59073-700,-35.252869999999966,-5.851879999999938
59123-614,-35.24741713619024,-5.7367440428179926
59076-440,-35.20490115491457,-5.831209479014001
59014-050,-35.19347172557464,-5.784977505474867
59014-055,-35.19347172557464,-5.784977505474867
59124-001,-35.248189376794265,-5.748152811453253
59124-002,-35.248127054513986,-5.748249459440378
59124-003,-35.248208844509705,-5.748165364973035
59124-004,-35.248146522229426,-5.7482620129601605
59124-005,-35.248228312225145,-5.748177918492818
59124-006,-35.24816598994488,-5.748274566479942
59124-000,-35.248986567956464,-5.747018009653826
59129-250,-35.248986567956464,-5.747018009653826
59139-790,-35.26358992572109,-5.72249995578197
59139-810,-35.26298205024473,-5.722455696054433
59138-622,-35.26123289270407,-5.7256622974347104
59139-780,-35.263819925144226,-5.7223449534374975
59139-840,-35.261899649445674,-5.72210832331017
59139-830,-35.26252884284901,-5.72278448539358
59139-800,-35.263061592707245,-5.722009374737892
59139-820,-35.26273393028253,-5.722591911689554
59115-702,-35.272514934312795,-5.743529962256331
59080-440,-35.21139479382144,-5.856941533944763
59080-441,-35.21166597187946,-5.856555287085433
59114-168,-35.271224917504576,-5.753094971064988
59132-630,-35.24469992390122,-5.733474968342798
59108-140,-35.262141456003114,-5.76364452107403
59090-360,-35.176802687206816,-5.878658296597776
59072-225,-35.24561604609561,-5.830228640107966
59068-580,-35.23987040776029,-5.853143906695296
59104-180,-35.25309125385606,-5.770056182671933
59104-184,-35.251870013425076,-5.7702099791589205
59104-186,-35.25184610720108,-5.7699381778351215
59104-188,-35.2514503566429,-5.770468920351176
59104-182,-35.25188962483524,-5.769868879839192
59040-045,-35.245809059508595,-5.7951612700681245
59040-047,-35.20930999999996,-5.7911099999999465
59090-030,-35.18302491641745,-5.865954971344188
59071-020,-35.2404699126447,-5.827469965828335
59112-120,-35.26089244189136,-5.757195623207414
59129-758,-35.26089244189136,-5.757195623207414
59084-080,-35.19748479844797,-5.869154830526744
59037-042,-35.22204489690347,-5.799579958338093
59132-710,-35.239934895764996,-5.7347049497695135
59088-522,-35.201464935765344,-5.880139959454602
59060-738,-35.243639906516115,-5.815364967945667
59080-420,-35.21052517872013,-5.857212707583377
59122-150,-35.24870800512087,-5.753224000889219
59073-310,-35.26966088355793,-5.854397979184326
59074-872,-35.270630116812285,-5.852463199519327
59054-020,-35.22368831559235,-5.807466945944067
59131-250,-35.245279909691455,-5.726079950447228
59110-390,-35.245279909691455,-5.726079950447228
59054-025,-35.223292455665046,-5.8084385244220575
59042-480,-35.24295540016993,-5.79347242350286
59068-750,-35.239314857402604,-5.85145300101432
59086-210,-35.20716756116642,-5.863658982255906
59069-640,-35.24263999999994,-5.852799999999945
59084-090,-35.19795492999161,-5.869659961140556
59129-440,-35.25445490854534,-5.7394299543180685
59114-123,-35.27578511472755,-5.731165988425193
59042-430,-35.24629890340711,-5.795147399728135
59069-610,-35.24263999999994,-5.852799999999945
59042-440,-35.24353291447786,-5.793278212326865
59110-340,-35.25467167496855,-5.754743075916184
59110-660,-35.25200181012826,-5.740337578828307
59136-350,-35.251716788638234,-5.724383760372306
59042-435,-35.245783092906024,-5.7940743643817925
59108-290,-35.260074932714964,-5.761514949035608
59129-450,-35.25543936692444,-5.739959401083285
59124-700,-35.24737991171301,-5.7477499571385575
59124-330,-35.251950731547936,-5.740999087764561
59084-070,-35.198446917547216,-5.869344960577777
59129-590,-35.26050488243835,-5.745469953746286
59124-640,-35.249601973665854,-5.7395651536249614
59042-420,-35.245809059508595,-5.7951612700681245
59042-422,-35.245809059508595,-5.7951612700681245
59074-584,-35.27078220034761,-5.82928317388405
59074-310,-35.26024423992709,-5.82291140153102
59090-280,-35.16825608084784,-5.890742995165093
59071-170,-35.2401398349669,-5.825209736686897
59010-336,-35.197915288195745,-5.773580226250143
59071-172,-35.2401398349669,-5.825209736686897
59010-335,-35.197915288195745,-5.773580226250143
59092-513,-35.16825608084784,-5.890742995165093
59070-260,-35.23631379577213,-5.823190394886423
59131-340,-35.24548493104312,-5.7243799537999465
59091-160,-35.19887991491653,-5.879539961870549
59012-255,-35.206324930864525,-5.7778949480400845
59122-228,-35.21678491738476,-5.742639971777159
59062-265,-35.232094103469564,-5.8139652480218675
59022-210,-35.20713039306751,-5.807530740392145
59090-720,-35.1770153723466,-5.8825915268643305
59012-335,-35.195104662816746,-5.784734949064196
59050-240,-35.237381334788864,-5.80632603392246
59050-093,-35.237381334788864,-5.80632603392246
59050-241,-35.23676825751414,-5.806391665046919
59050-245,-35.23676825751414,-5.806391665046919
59114-057,-35.267739889802286,-5.762934969162076
59090-487,-35.171709891954286,-5.885774945321388
59065-730,-35.21733999999998,-5.84490999999997
59139-564,-35.27751999999997,-5.7226499999999305
59080-460,-35.21145600023246,-5.858654596578518
59129-803,-35.27751999999997,-5.7226499999999305
59054-395,-35.221152731839865,-5.810420995643022
59082-321,-35.186454916925385,-5.867559959118978
59092-470,-35.17892495038869,-5.874999966879841
59122-025,-35.23460795142132,-5.754168416637441
59129-160,-35.254119925784934,-5.742029957818807
59014-550,-35.200729999999965,-5.8005699999999365
59040-046,-35.209839923870675,-5.805989955927245
59031-130,-35.209839923870675,-5.805989955927245
59060-071,-35.247169999999976,-5.813899999999932
59115-518,-35.275899924000676,-5.752829956241343
59115-570,-35.283131698922745,-5.744274995594196
59129-740,-35.26056487011893,-5.737695070447187
59133-278,-35.23441575222632,-5.7366577359500805
59062-260,-35.232094103469564,-5.8139652480218675
59014-350,-35.1887749019958,-5.794159968287758
59040-220,-35.21862990000221,-5.7928799678538345
59040-226,-35.217295681250455,-5.792110216351133
59040-225,-35.217295681250455,-5.792110216351133
59074-884,-35.25932492001881,-5.841084963568065
59064-530,-35.21373742942451,-5.8378849559041495
59015-240,-35.196742466148926,-5.809466230541845
59062-610,-35.22398447327658,-5.819228785259954
59108-030,-35.25748991186615,-5.765739952104973
59042-050,-35.23727489879228,-5.797349952998268
59015-510,-35.200729999999965,-5.8005699999999365
59030-005,-35.213482645822246,-5.795934061268609
59072-070,-35.24605490045903,-5.821929946924528
59031-605,-35.20930999999996,-5.7911099999999465
59114-130,-35.26336685545453,-5.750663825597874
59054-450,-35.22242296072799,-5.814897092724168
59086-130,-35.206304726699905,-5.864154262254788
59014-190,-35.18920596872911,-5.790923458362316
59112-510,-35.252599999999966,-5.740069999999946
59014-195,-35.18920596872911,-5.790923458362316
59064-570,-35.21422377683875,-5.838667419182472
59115-300,-35.28711999999996,-5.727389999999957
59120-720,-35.24285992851614,-5.758739973306072
59114-407,-35.26840491000023,-5.757609946074716
59135-590,-35.25152225467474,-5.728186111890618
59114-285,-35.266919930124146,-5.748844968969394
59129-000,-35.254691028085226,-5.745578722112023
59129-030,-35.25774842039535,-5.745134339003338
59014-290,-35.191235788698656,-5.791975823531245
59052-070,-35.23545601999075,-5.809704243210541
59072-700,-35.24141164946408,-5.832331860634191
59073-106,-35.2596899099926,-5.854034962064603
59020-380,-35.20352999999995,-5.800249999999949
59020-370,-35.203680574126786,-5.799668169109935
59050-030,-35.23592125351376,-5.802436121746348
59050-031,-35.23592125351376,-5.802436121746348
59037-340,-35.225988425514835,-5.804139207517041
59014-618,-35.198584913834274,-5.796399948092367
59090-182,-35.17407991698667,-5.883884951883871
59012-380,-35.2048799326666,-5.780034952694564
59071-260,-35.23796992620358,-5.824329958215508
59114-206,-35.283732235929065,-5.734035400578978
59065-370,-35.22185289923929,-5.840270644923785
59131-350,-35.24475989641843,-5.7224249587033
59125-290,-35.242707633516844,-5.734011358756838
59123-275,-35.24081336072555,-5.7454082443905685
59123-225,-35.23952489497118,-5.745889949959648
59030-410,-35.21157221342081,-5.797816302089098
59030-415,-35.211018719213186,-5.7981762660169895
59025-060,-35.20518258658092,-5.7836700508845045
59135-370,-35.253634906957686,-5.730594946411713
59025-763,-35.211449999999964,-5.7862199999999575
59072-462,-35.251119999999965,-5.829109999999957
59022-610,-35.20683991499564,-5.804554953148844
59080-971,-35.20602998781275,-5.854105553055983
59091-970,-35.205714524356885,-5.856845000660647
59054-970,-35.22436999493482,-5.805919987990477
59015-970,-35.201329261111134,-5.8140254266288975
59075-970,-35.204645761787646,-5.827845669087938
59075-971,-35.204645761787646,-5.827845669087938
59075-979,-35.204645761787646,-5.827845669087938
59110-972,-35.24949780791222,-5.7607897145284115
59110-970,-35.22856306286836,-5.748275304815812
59010-970,-35.20431207551214,-5.773045783531535
59082-971,-35.2008327553049,-5.854363539816959
59082-970,-35.190758548153745,-5.8621920974093005
59078-972,-35.20650297480381,-5.8499059467474215
59020-970,-35.20000003054738,-5.798430003131943
59020-972,-35.20000003054738,-5.798430003131943
59065-970,-35.219019993775994,-5.836360000929034
